Date, ISIN, Scrip Name, NSE Symbol, MWPL, NSE Open Interest
11-JAN-2017,INE018A01030,LARSEN & TOUBRO LTD.,LT,182559065,9439500
11-JAN-2017,INE814H01011,ADANI POWER LTD,ADANIPOWER,245854775,150600000
11-JAN-2017,INE361B01024,DIVI'S LABORATORIES LTD,DIVISLAB,25451469,9903000
11-JAN-2017,INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,797344158,41422500
11-JAN-2017,INE036A01016,RELIANCE INFRASTRUCTU LTD,RELINFRA,25661014,9382100
11-JAN-2017,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,54083602,13115200
11-JAN-2017,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,60244101,14557400
11-JAN-2017,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,31180379,1731000
11-JAN-2017,INE692A01016,UNION BANK OF INDIA,UNIONBANK,50266904,30576000
11-JAN-2017,INE012A01025,ACC LIMITED,ACC,18652428,1564800
11-JAN-2017,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282405919,84588000
11-JAN-2017,INE326A01037,LUPIN LIMITED,LUPIN,48056576,5234000
11-JAN-2017,INE216A01022,BRITANNIA INDUSTRIES LTD,BRITANNIA,11825583,1190600
11-JAN-2017,INE049B01025,WOCKHARDT LIMITED,WOCKPHARMA,5684585,4844400
11-JAN-2017,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,30199543,2845500
11-JAN-2017,INE503A01015,DCB BANK LIMITED,DCBBANK,47706858,3627000
11-JAN-2017,INE733E01010,NTPC LTD,NTPC,498941046,20116000
11-JAN-2017,INE151A01013,TATA COMMUNICATIONS LTD,TATACOMM,14253357,5926200
11-JAN-2017,INE868B01028,NCC LIMITED,NCC,88700768,22576000
11-JAN-2017,INE776C01039,GMR INFRASTRUCTURE LTD.,GMRINFRA,463433632,206820000
11-JAN-2017,INE749A01030,JINDAL STEEL & POWER LTD,JINDALSTEL,69721409,83124000
11-JAN-2017,INE010B01027,CADILA HEALTHCARE LIMITED,CADILAHC,51610474,3492800
11-JAN-2017,INE003A01024,SIEMENS LTD,SIEMENS,17805517,897000
11-JAN-2017,INE092A01019,TATA CHEMICALS LTD,TATACHEM,35256784,5607000
11-JAN-2017,INE721A01013,SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN,33555914,3831600
11-JAN-2017,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,99330300,29032500
11-JAN-2017,INE910H01017,CAIRN INDIA LIMITED,CAIRN,150598427,24909500
11-JAN-2017,INE242A01010,INDIAN OIL CORP LTD,IOC,405176781,21186000
11-JAN-2017,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,63336538,13931200
11-JAN-2017,INE191I01012,HOUSING DEV & INFRA LTD,HDIL,55096915,44784000
11-JAN-2017,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,337875839,64207000
11-JAN-2017,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,45583448,8892500
11-JAN-2017,INE280A01028,TITAN COMPANY LIMITED,TITAN,83355648,11205000
11-JAN-2017,INE647A01010,SRF LTD,SRF,5468800,492500
11-JAN-2017,INE271C01023,DLF LIMITED,DLF,89368945,71435000
11-JAN-2017,INE129A01019,GAIL (INDIA) LTD,GAIL,108951958,6997500
11-JAN-2017,INE030A01027,HINDUSTAN UNILEVER LTD.,HINDUNILVR,141972365,7104000
11-JAN-2017,INE020B01018,RURAL ELEC CORP. LTD.,RECLTD,155476528,36918000
11-JAN-2017,INE775A01035,MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI,103569882,13707500
11-JAN-2017,INE121E01018,JSW ENERGY LIMITED,JSWENERGY,82002830,43544000
11-JAN-2017,INE192A01025,TATA GLOBAL BEVERAGES LTD,TATAGLOBAL,78143609,29952000
11-JAN-2017,INE034A01011,ARVIND LIMITED,ARVIND,29058112,11398000
11-JAN-2017,INE066A01013,EICHER MOTORS LTD,EICHERMOT,2687179,243550
11-JAN-2017,INE084A01016,BANK OF INDIA,BANKINDIA,47308200,32490000
