Date, ISIN, Scrip Name, NSE Symbol, MWPL, NSE Open Interest
04-JAN-2017,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,54083602,12937400
04-JAN-2017,INE049B01025,WOCKHARDT LIMITED,WOCKPHARMA,5684585,4167000
04-JAN-2017,INE361B01024,DIVI'S LABORATORIES LTD,DIVISLAB,25451469,6532200
04-JAN-2017,INE018A01030,LARSEN & TOUBRO LTD.,LT,182559065,9647000
04-JAN-2017,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282405919,78981000
04-JAN-2017,INE036A01016,RELIANCE INFRASTRUCTU LTD,RELINFRA,25661014,9044100
04-JAN-2017,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,60244101,13132900
04-JAN-2017,INE814H01011,ADANI POWER LTD,ADANIPOWER,245854775,135520000
04-JAN-2017,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,30199543,2627100
04-JAN-2017,INE503A01015,DCB BANK LIMITED,DCBBANK,47706858,2970000
04-JAN-2017,INE733E01010,NTPC LTD,NTPC,498941046,17552000
04-JAN-2017,INE692A01016,UNION BANK OF INDIA,UNIONBANK,50266904,28204000
04-JAN-2017,INE326A01037,LUPIN LIMITED,LUPIN,48056576,5064000
04-JAN-2017,INE012A01025,ACC LIMITED,ACC,18652428,1494400
04-JAN-2017,INE868B01028,NCC LIMITED,NCC,88700768,15240000
04-JAN-2017,INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,797344158,37132500
04-JAN-2017,INE151A01013,TATA COMMUNICATIONS LTD,TATACOMM,14253357,5304600
04-JAN-2017,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,31180379,1646000
04-JAN-2017,INE216A01022,BRITANNIA INDUSTRIES LTD,BRITANNIA,11825583,1139600
04-JAN-2017,INE280A01028,TITAN COMPANY LIMITED,TITAN,83355648,10930500
04-JAN-2017,INE020B01018,RURAL ELEC CORP. LTD.,RECLTD,155476528,31404000
04-JAN-2017,INE084A01016,BANK OF INDIA,BANKINDIA,47308200,30594000
04-JAN-2017,INE034A01011,ARVIND LIMITED,ARVIND,29058112,8314000
04-JAN-2017,INE192A01025,TATA GLOBAL BEVERAGES LTD,TATAGLOBAL,78143609,29142000
04-JAN-2017,INE271C01023,DLF LIMITED,DLF,89368945,63790000
04-JAN-2017,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,45583448,8518000
04-JAN-2017,INE191I01012,HOUSING DEV & INFRA LTD,HDIL,55096915,42592000
