Date, ISIN, Scrip Name, NSE Symbol, MWPL, NSE Open Interest
12-JAN-2017,INE733E01010,NTPC LTD,NTPC,498941046,25504000
12-JAN-2017,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,60244101,15996200
12-JAN-2017,INE018A01030,LARSEN & TOUBRO LTD.,LT,182559065,10283000
12-JAN-2017,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,54083602,13200600
12-JAN-2017,INE326A01037,LUPIN LIMITED,LUPIN,48056576,5420400
12-JAN-2017,INE036A01016,RELIANCE INFRASTRUCTU LTD,RELINFRA,25661014,9794200
12-JAN-2017,INE692A01016,UNION BANK OF INDIA,UNIONBANK,50266904,31636000
12-JAN-2017,INE361B01024,DIVI'S LABORATORIES LTD,DIVISLAB,25451469,9974400
12-JAN-2017,INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,797344158,42742500
12-JAN-2017,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282405919,86464000
12-JAN-2017,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,30199543,2797200
12-JAN-2017,INE814H01011,ADANI POWER LTD,ADANIPOWER,245854775,162820000
12-JAN-2017,INE012A01025,ACC LIMITED,ACC,18652428,1646400
12-JAN-2017,INE151A01013,TATA COMMUNICATIONS LTD,TATACOMM,14253357,7558600
12-JAN-2017,INE216A01022,BRITANNIA INDUSTRIES LTD,BRITANNIA,11825583,1184600
12-JAN-2017,INE503A01015,DCB BANK LIMITED,DCBBANK,47706858,4257000
12-JAN-2017,INE868B01028,NCC LIMITED,NCC,88700768,23912000
12-JAN-2017,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,31180379,1715000
12-JAN-2017,INE049B01025,WOCKHARDT LIMITED,WOCKPHARMA,5684585,4674000
12-JAN-2017,INE020B01018,RURAL ELEC CORP. LTD.,RECLTD,155476528,37530000
12-JAN-2017,INE242A01010,INDIAN OIL CORP LTD,IOC,405176781,22671000
12-JAN-2017,INE191I01012,HOUSING DEV & INFRA LTD,HDIL,55096915,46528000
12-JAN-2017,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,63336538,13868800
12-JAN-2017,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,99330300,30177000
12-JAN-2017,INE010B01027,CADILA HEALTHCARE LIMITED,CADILAHC,51610474,3635200
12-JAN-2017,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,45583448,8940000
12-JAN-2017,INE647A01010,SRF LTD,SRF,5468800,477000
