Date, ISIN, Scrip Name, NSE Symbol, MWPL, NSE Open Interest
06-JAN-2017,INE049B01025,WOCKHARDT LIMITED,WOCKPHARMA,5684585,5562600
06-JAN-2017,INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,797344158,36307500
06-JAN-2017,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,60244101,12507000
06-JAN-2017,INE216A01022,BRITANNIA INDUSTRIES LTD,BRITANNIA,11825583,1160600
06-JAN-2017,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,54083602,12436200
06-JAN-2017,INE012A01025,ACC LIMITED,ACC,18652428,1430400
06-JAN-2017,INE814H01011,ADANI POWER LTD,ADANIPOWER,245854775,136020000
06-JAN-2017,INE326A01037,LUPIN LIMITED,LUPIN,48056576,5093200
06-JAN-2017,INE018A01030,LARSEN & TOUBRO LTD.,LT,182559065,9209000
06-JAN-2017,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282405919,81697000
06-JAN-2017,INE036A01016,RELIANCE INFRASTRUCTU LTD,RELINFRA,25661014,8791900
06-JAN-2017,INE692A01016,UNION BANK OF INDIA,UNIONBANK,50266904,28604000
06-JAN-2017,INE361B01024,DIVI'S LABORATORIES LTD,DIVISLAB,25451469,7668000
06-JAN-2017,INE733E01010,NTPC LTD,NTPC,498941046,18924000
06-JAN-2017,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,31180379,1785000
06-JAN-2017,INE151A01013,TATA COMMUNICATIONS LTD,TATACOMM,14253357,5376000
06-JAN-2017,INE868B01028,NCC LIMITED,NCC,88700768,18808000
06-JAN-2017,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,30199543,2789500
06-JAN-2017,INE503A01015,DCB BANK LIMITED,DCBBANK,47706858,2929500
06-JAN-2017,INE129A01019,GAIL (INDIA) LTD,GAIL,108951958,6759000
06-JAN-2017,INE084A01016,BANK OF INDIA,BANKINDIA,47308200,30930000
06-JAN-2017,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,45583448,8641500
06-JAN-2017,INE020B01018,RURAL ELEC CORP. LTD.,RECLTD,155476528,33366000
06-JAN-2017,INE191I01012,HOUSING DEV & INFRA LTD,HDIL,55096915,42632000
06-JAN-2017,INE775A01035,MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI,103569882,11617500
06-JAN-2017,INE271C01023,DLF LIMITED,DLF,89368945,67190000
06-JAN-2017,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,337875839,59125000
06-JAN-2017,INE010B01027,CADILA HEALTHCARE LIMITED,CADILAHC,51610474,3238400
06-JAN-2017,INE749A01030,JINDAL STEEL & POWER LTD,JINDALSTEL,69721409,59823000
