Date, ISIN, Scrip Name, NSE Symbol, MWPL, NSE Open Interest
02-JAN-2017,INE429C01035,SINTEX INDUSTRIES LTD,SINTEX,70698298,26497875
02-JAN-2017,INE172A01027,CASTROL INDIA LIMITED,CASTROLIND,48466996,11480000
02-JAN-2017,INE942G01012,MCLEOD RUSSEL INDIA LTD.,MCLEODRUSS,10969190,4344000
02-JAN-2017,INE881D01027,ORACLE FIN SERV SOFT LTD.,OFSS,4393160,200250
02-JAN-2017,INE669E01016,IDEA CELLULAR LIMITED,IDEA,416070438,84959000
02-JAN-2017,INE510A01028,ENGINEERS INDIA LTD,ENGINERSIN,54764539,25312000
02-JAN-2017,INE067A01029,CROMPTON GREAVES LTD,CROMPGREAV,82082548,26268000
02-JAN-2017,INE008A01015,IDBI BANK LIMITED,IDBI,75388015,32760000
02-JAN-2017,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,170061353,17702500
02-JAN-2017,INE424H01027,SUN TV NETWORK LIMITED,SUNTV,19704232,7970000
02-JAN-2017,IN9155A01020,TATA MOTORS DVR 'A' ORD,TATAMTRDVR,101597007,16436700
02-JAN-2017,INE040A01026,HDFC BANK LTD,HDFCBANK,305882841,31318000
02-JAN-2017,INE486A01013,CESC LTD,CESC,13270994,1925000
02-JAN-2017,INE158A01026,HERO MOTOCORP LIMITED,HEROMOTOCO,26105076,1802200
02-JAN-2017,INE483B01026,INDO COUNT INDUSTRIES LTD,ICIL,16210584,3706500
02-JAN-2017,INE836F01026,DISH TV INDIA LTD.,DISHTV,75810101,37310000
02-JAN-2017,INE752E01010,POWER GRID CORP. LTD.,POWERGRID,440550890,18608000
02-JAN-2017,INE302A01020,EXIDE INDUSTRIES LTD,EXIDEIND,91809066,12876000
02-JAN-2017,INE883A01011,MRF LTD,MRF,615056,29775
02-JAN-2017,INE323A01026,BOSCH LIMITED,BOSCHLTD,1801607,74975
02-JAN-2017,INE267A01025,HINDUSTAN ZINC LIMITED,HINDZINC,296432938,8617600
02-JAN-2017,INE877F01012,PTC INDIA LIMITED,PTC,49601664,15584000
02-JAN-2017,INE591G01017,NIIT TECHNOLOGIES LTD,NIITTECH,8501411,588000
02-JAN-2017,INE102D01028,GODREJ CONSUMER PRODUCTS,GODREJCP,25020946,634400
02-JAN-2017,INE016A01026,DABUR INDIA LTD,DABUR,112643965,12725000
02-JAN-2017,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,27165463,615600
