Date, ISIN, Scrip Name, NSE Symbol, MWPL, NSE Open Interest
09-JAN-2017,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,54083602,13052900
09-JAN-2017,INE326A01037,LUPIN LIMITED,LUPIN,48056576,5164800
09-JAN-2017,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,60244101,12768800
09-JAN-2017,INE733E01010,NTPC LTD,NTPC,498941046,19476000
09-JAN-2017,INE361B01024,DIVI'S LABORATORIES LTD,DIVISLAB,25451469,9151800
09-JAN-2017,INE036A01016,RELIANCE INFRASTRUCTU LTD,RELINFRA,25661014,8960900
09-JAN-2017,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282405919,82677000
09-JAN-2017,INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,797344158,37290000
09-JAN-2017,INE049B01025,WOCKHARDT LIMITED,WOCKPHARMA,5684585,5189400
09-JAN-2017,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,31180379,1727000
09-JAN-2017,INE814H01011,ADANI POWER LTD,ADANIPOWER,245854775,137500000
09-JAN-2017,INE868B01028,NCC LIMITED,NCC,88700768,20224000
09-JAN-2017,INE018A01030,LARSEN & TOUBRO LTD.,LT,182559065,9376000
09-JAN-2017,INE692A01016,UNION BANK OF INDIA,UNIONBANK,50266904,29672000
09-JAN-2017,INE151A01013,TATA COMMUNICATIONS LTD,TATACOMM,14253357,5506200
09-JAN-2017,INE216A01022,BRITANNIA INDUSTRIES LTD,BRITANNIA,11825583,1158000
09-JAN-2017,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,30199543,2799300
09-JAN-2017,INE503A01015,DCB BANK LIMITED,DCBBANK,47706858,2965500
09-JAN-2017,INE012A01025,ACC LIMITED,ACC,18652428,1426000
09-JAN-2017,INE093A01033,HEXAWARE TECHNOLOGIES LTD,HEXAWARE,17192082,7140000
09-JAN-2017,INE296A01024,BAJAJ FINANCE LIMITED,BAJFINANCE,45583448,8708000
09-JAN-2017,INE171A01029,FEDERAL BANK LTD,FEDERALBNK,337875839,59532000
09-JAN-2017,INE271C01023,DLF LIMITED,DLF,89368945,68590000
