Date, ISIN, Scrip Name, NSE Symbol, MWPL, NSE Open Interest
10-JAN-2017,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,60244101,13376000
10-JAN-2017,INE361B01024,DIVI'S LABORATORIES LTD,DIVISLAB,25451469,9816000
10-JAN-2017,INE036A01016,RELIANCE INFRASTRUCTU LTD,RELINFRA,25661014,9262500
10-JAN-2017,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,282405919,83174000
10-JAN-2017,INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,797344158,40447500
10-JAN-2017,INE935A01035,GLENMARK PHARMACEUTICALS,GLENMARK,30199543,2816100
10-JAN-2017,INE692A01016,UNION BANK OF INDIA,UNIONBANK,50266904,30276000
10-JAN-2017,INE814H01011,ADANI POWER LTD,ADANIPOWER,245854775,141740000
10-JAN-2017,INE326A01037,LUPIN LIMITED,LUPIN,48056576,5286400
10-JAN-2017,INE012A01025,ACC LIMITED,ACC,18652428,1444400
10-JAN-2017,INE216A01022,BRITANNIA INDUSTRIES LTD,BRITANNIA,11825583,1179800
10-JAN-2017,INE018A01030,LARSEN & TOUBRO LTD.,LT,182559065,9362500
10-JAN-2017,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,54083602,13207600
10-JAN-2017,INE151A01013,TATA COMMUNICATIONS LTD,TATACOMM,14253357,5838000
10-JAN-2017,INE868B01028,NCC LIMITED,NCC,88700768,21280000
10-JAN-2017,INE318A01026,PIDILITE INDUSTRIES LTD,PIDILITIND,31180379,1781000
10-JAN-2017,INE733E01010,NTPC LTD,NTPC,498941046,19652000
10-JAN-2017,INE503A01015,DCB BANK LIMITED,DCBBANK,47706858,3001500
10-JAN-2017,INE049B01025,WOCKHARDT LIMITED,WOCKPHARMA,5684585,5005800
10-JAN-2017,INE647A01010,SRF LTD,SRF,5468800,459000
10-JAN-2017,INE242A01010,INDIAN OIL CORP LTD,IOC,405176781,21402000
10-JAN-2017,INE148I01020,INDIABULLS HSG FIN LTD,IBULHSGFIN,63336538,14532000
10-JAN-2017,INE129A01019,GAIL (INDIA) LTD,GAIL,108951958,6996000
