Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.94*D*D + 0.06* C*C) or GARCH (1;1) model for INDIAVIX, Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.94*J*J + 0.06* I*I) or GARCH (1;1) model for INDIAVIX, Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
12-Jan-17,ABIRLANUVO,1270.05,1275, -0.0039,  0.0166,  0.0162,  0.3088,1275.25,1279.95, -0.0037,  0.0169,  0.0164,  0.3129,  0.0164,  0.3129
12-Jan-17,ACC,1341.6,1348.7, -0.0053,  0.0130,  0.0127,  0.2419,1345.95,1354.75, -0.0065,  0.0134,  0.0131,  0.2496,  0.0131,  0.2496
12-Jan-17,ADANIENT,80.15,80.85, -0.0087,  0.0185,  0.0181,  0.3452,80.5,81.2, -0.0087,  0.0192,  0.0188,  0.3588,  0.0188,  0.3588
12-Jan-17,ADANIPORTS,292.75,295.65, -0.0099,  0.0205,  0.0200,  0.3826,293.4,295.75, -0.0080,  0.0204,  0.0198,  0.3790,  0.0200,  0.3826
12-Jan-17,ADANIPOWER,36.45,35.15,  0.0363,  0.0277,  0.0283,  0.5399,36.65,35.35,  0.0361,  0.0278,  0.0284,  0.5424,  0.0284,  0.5424
12-Jan-17,AJANTPHARM,1794.65,1803.4, -0.0049,  0.0174,  0.0169,  0.3226,1798.7,1810.85, -0.0067,  0.0174,  0.0169,  0.3229,  0.0169,  0.3229
12-Jan-17,ALBK,65.75,65.6,  0.0023,  0.0192,  0.0186,  0.3562,65.55,65.55,  0.0000,  0.0199,  0.0193,  0.3695,  0.0193,  0.3695
12-Jan-17,AMARAJABAT,895.5,906.8, -0.0125,  0.0172,  0.0170,  0.3241,898.2,910.1, -0.0132,  0.0158,  0.0157,  0.2994,  0.0170,  0.3241
12-Jan-17,AMBUJACEM,214.25,215.85, -0.0074,  0.0179,  0.0174,  0.3332,214.65,216.65, -0.0093,  0.0170,  0.0166,  0.3178,  0.0174,  0.3332
12-Jan-17,ANDHRABANK,49.45,49.75, -0.0060,  0.0148,  0.0145,  0.2763,49.65,49.9, -0.0050,  0.0156,  0.0152,  0.2896,  0.0152,  0.2896
12-Jan-17,APOLLOHOSP,1206,1199.3,  0.0056,  0.0135,  0.0132,  0.2513,1209.1,1203.55,  0.0046,  0.0133,  0.0130,  0.2475,  0.0132,  0.2513
12-Jan-17,APOLLOTYRE,194.8,197.1, -0.0117,  0.0188,  0.0185,  0.3528,195.1,197.55, -0.0125,  0.0190,  0.0187,  0.3574,  0.0187,  0.3574
12-Jan-17,ARVIND,359.65,362.4, -0.0076,  0.0210,  0.0204,  0.3900,361.25,363.85, -0.0072,  0.0211,  0.0206,  0.3931,  0.0206,  0.3931
12-Jan-17,ASHOKLEY,84.3,85.6, -0.0153,  0.0163,  0.0163,  0.3112,84.65,85.75, -0.0129,  0.0165,  0.0163,  0.3115,  0.0163,  0.3115
12-Jan-17,ASIANPAINT,933.55,934.65, -0.0012,  0.0162,  0.0157,  0.2997,933.85,937.8, -0.0042,  0.0156,  0.0151,  0.2889,  0.0157,  0.2997
12-Jan-17,AUROPHARMA,694.8,704.9, -0.0144,  0.0184,  0.0182,  0.3479,696.6,706.9, -0.0147,  0.0186,  0.0184,  0.3521,  0.0184,  0.3521
12-Jan-17,AXISBANK,455.2,453.6,  0.0035,  0.0145,  0.0141,  0.2691,455.4,453.85,  0.0034,  0.0145,  0.0141,  0.2699,  0.0141,  0.2699
12-Jan-17,BAJAJ-AUTO,2737.15,2718.55,  0.0068,  0.0127,  0.0124,  0.2370,2737.4,2726.6,  0.0040,  0.0123,  0.0119,  0.2280,  0.0124,  0.2370
12-Jan-17,BAJFINANCE,891.2,896.15, -0.0055,  0.0253,  0.0246,  0.4699,892.75,898.8, -0.0068,  0.0246,  0.0239,  0.4561,  0.0246,  0.4699
12-Jan-17,BANKBARODA,158.7,159.6, -0.0057,  0.0216,  0.0209,  0.4002,158.9,159.4, -0.0031,  0.0209,  0.0203,  0.3878,  0.0209,  0.4002
12-Jan-17,BANKINDIA,114.15,114.25, -0.0009,  0.0170,  0.0165,  0.3145,114.1,114.3, -0.0018,  0.0179,  0.0173,  0.3312,  0.0173,  0.3312
12-Jan-17,BANKNIFTY,18873.95,18830,  0.0023,  0.0108,  0.0105,  0.2009,18901.3,18839.55,  0.0033,  0.0106,  0.0103,  0.1963,  0.0105,  0.2009
12-Jan-17,BATAINDIA,485.5,476.75,  0.0182,  0.0159,  0.0160,  0.3065,485.5,477.1,  0.0175,  0.0164,  0.0164,  0.3142,  0.0164,  0.3142
12-Jan-17,BEL,1550.9,1527.65,  0.0151,  0.0194,  0.0191,  0.3656,1550.9,1530.8,  0.0130,  0.0197,  0.0194,  0.3697,  0.0194,  0.3697
12-Jan-17,BEML,1222.75,1219.3,  0.0028,  0.0395,  0.0383,  0.7321,1225.85,1221.65,  0.0034,  0.0388,  0.0377,  0.7197,  0.0383,  0.7321
12-Jan-17,BHARATFIN,663,656.85,  0.0093,  0.0402,  0.0390,  0.7451,664.2,658.85,  0.0081,  0.0403,  0.0391,  0.7466,  0.0391,  0.7466
12-Jan-17,BHARATFORG,951.5,952, -0.0005,  0.0185,  0.0179,  0.3424,954.8,956.95, -0.0022,  0.0188,  0.0182,  0.3476,  0.0182,  0.3476
12-Jan-17,BHARTIARTL,321.8,322.75, -0.0029,  0.0161,  0.0156,  0.2986,321.15,322.65, -0.0047,  0.0161,  0.0157,  0.2992,  0.0157,  0.2992
12-Jan-17,BHEL,127.95,128.65, -0.0055,  0.0135,  0.0132,  0.2512,128.45,129.2, -0.0058,  0.0138,  0.0134,  0.2568,  0.0134,  0.2568
12-Jan-17,BIOCON,1008.85,1002.7,  0.0061,  0.0206,  0.0201,  0.3835,1008.65,1005.55,  0.0031,  0.0199,  0.0193,  0.3683,  0.0201,  0.3835
12-Jan-17,BOSCHLTD,21449.3,21194.4,  0.0120,  0.0179,  0.0176,  0.3365,21445.7,21262.3,  0.0086,  0.0178,  0.0174,  0.3326,  0.0176,  0.3365
12-Jan-17,BPCL,659.3,660.9, -0.0024,  0.0158,  0.0154,  0.2936,657.95,659.3, -0.0020,  0.0151,  0.0146,  0.2791,  0.0154,  0.2936
12-Jan-17,BRITANNIA,2947.8,2970.1, -0.0075,  0.0129,  0.0127,  0.2419,2949.65,2975, -0.0086,  0.0128,  0.0126,  0.2404,  0.0127,  0.2419
12-Jan-17,CADILAHC,349.8,356.45, -0.0188,  0.0229,  0.0227,  0.4341,351.35,358, -0.0188,  0.0233,  0.0230,  0.4398,  0.0230,  0.4398
12-Jan-17,CAIRN,267.1,263.65,  0.0130,  0.0206,  0.0202,  0.3863,267.2,264.2,  0.0113,  0.0202,  0.0198,  0.3776,  0.0202,  0.3863
12-Jan-17,CANBK,275.15,276.3, -0.0042,  0.0185,  0.0180,  0.3442,273,274.55, -0.0057,  0.0187,  0.0182,  0.3473,  0.0182,  0.3473
12-Jan-17,CASTROLIND,396.9,392.1,  0.0122,  0.0136,  0.0135,  0.2580,397.45,392.85,  0.0116,  0.0139,  0.0138,  0.2628,  0.0138,  0.2628
12-Jan-17,CEATLTD,1205.2,1229.3, -0.0198,  0.0204,  0.0203,  0.3883,1202.95,1232.65, -0.0244,  0.0200,  0.0203,  0.3883,  0.0203,  0.3883
12-Jan-17,CENTURYTEX,819.55,841.05, -0.0259,  0.0234,  0.0236,  0.4504,820.4,843.85, -0.0282,  0.0241,  0.0244,  0.4661,  0.0244,  0.4661
12-Jan-17,CESC,664.55,667.55, -0.0045,  0.0142,  0.0138,  0.2638,666.8,670.5, -0.0055,  0.0145,  0.0141,  0.2700,  0.0141,  0.2700
