Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.94*D*D + 0.06* C*C) or GARCH (1;1) model for INDIAVIX, Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.94*J*J + 0.06* I*I) or GARCH (1;1) model for INDIAVIX, Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
03-Jan-17,ABIRLANUVO,1291.55,1290.1,  0.0011,  0.0195,  0.0189,  0.3608,1294.75,1295.6, -0.0007,  0.0202,  0.0196,  0.3736,  0.0196,  0.3736
03-Jan-17,ACC,1343.55,1351.9, -0.0062,  0.0134,  0.0131,  0.2494,1345.25,1357.9, -0.0094,  0.0140,  0.0137,  0.2623,  0.0137,  0.2623
03-Jan-17,ADANIENT,76.55,76.95, -0.0052,  0.0212,  0.0206,  0.3932,76.85,77.3, -0.0058,  0.0220,  0.0214,  0.4091,  0.0214,  0.4091
03-Jan-17,ADANIPORTS,273.95,273.8,  0.0005,  0.0202,  0.0196,  0.3740,274.15,274.85, -0.0026,  0.0202,  0.0196,  0.3737,  0.0196,  0.3740
03-Jan-17,ADANIPOWER,30.65,30.6,  0.0016,  0.0283,  0.0274,  0.5243,30.8,30.75,  0.0016,  0.0282,  0.0273,  0.5218,  0.0274,  0.5243
03-Jan-17,AJANTPHARM,1797.35,1823.85, -0.0146,  0.0204,  0.0201,  0.3837,1799.25,1829.55, -0.0167,  0.0199,  0.0197,  0.3767,  0.0201,  0.3837
03-Jan-17,ALBK,62.35,60.9,  0.0235,  0.0214,  0.0216,  0.4120,61.85,60.8,  0.0171,  0.0221,  0.0219,  0.4178,  0.0219,  0.4178
03-Jan-17,AMARAJABAT,889.7,896.6, -0.0077,  0.0182,  0.0177,  0.3382,889.95,897.65, -0.0086,  0.0176,  0.0172,  0.3287,  0.0177,  0.3382
03-Jan-17,AMBUJACEM,215.2,214.6,  0.0028,  0.0193,  0.0187,  0.3571,214.55,214.05,  0.0023,  0.0181,  0.0176,  0.3364,  0.0187,  0.3571
03-Jan-17,ANDHRABANK,47.85,47.7,  0.0031,  0.0167,  0.0162,  0.3104,48.05,47.9,  0.0031,  0.0178,  0.0172,  0.3292,  0.0172,  0.3292
