Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.94*D*D + 0.06* C*C) or GARCH (1;1) model for INDIAVIX, Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.94*J*J + 0.06* I*I) or GARCH (1;1) model for INDIAVIX, Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
10-Jan-17,ABIRLANUVO,1265.3,1282.55, -0.0135,  0.0173,  0.0171,  0.3259,1270.65,1283.65, -0.0102,  0.0177,  0.0173,  0.3305,  0.0173,  0.3305
10-Jan-17,ACC,1319.6,1327.85, -0.0062,  0.0125,  0.0122,  0.2333,1324.15,1330.65, -0.0049,  0.0129,  0.0125,  0.2394,  0.0125,  0.2394
10-Jan-17,ADANIENT,80.2,78.75,  0.0182,  0.0190,  0.0190,  0.3626,80.6,79.05,  0.0194,  0.0198,  0.0198,  0.3776,  0.0198,  0.3776
10-Jan-17,ADANIPORTS,293.9,284.7,  0.0318,  0.0202,  0.0211,  0.4031,294.8,285.4,  0.0324,  0.0200,  0.0210,  0.4009,  0.0211,  0.4031
10-Jan-17,ADANIPOWER,33.5,32.9,  0.0181,  0.0262,  0.0258,  0.4933,33.65,32.95,  0.0210,  0.0261,  0.0259,  0.4940,  0.0259,  0.4940
10-Jan-17,AJANTPHARM,1803.45,1779.25,  0.0135,  0.0182,  0.0179,  0.3424,1807.2,1779.9,  0.0152,  0.0180,  0.0179,  0.3417,  0.0179,  0.3424
10-Jan-17,ALBK,64.1,63.7,  0.0063,  0.0195,  0.0189,  0.3620,63.95,63.6,  0.0055,  0.0202,  0.0196,  0.3746,  0.0196,  0.3746
10-Jan-17,AMARAJABAT,902,904.3, -0.0025,  0.0182,  0.0177,  0.3381,905.35,906.15, -0.0009,  0.0168,  0.0163,  0.3106,  0.0177,  0.3381
10-Jan-17,AMBUJACEM,209.4,210.7, -0.0062,  0.0172,  0.0168,  0.3206,210.25,211.45, -0.0057,  0.0162,  0.0158,  0.3020,  0.0168,  0.3206
10-Jan-17,ANDHRABANK,48.65,48.45,  0.0041,  0.0146,  0.0142,  0.2718,48.8,48.65,  0.0031,  0.0155,  0.0151,  0.2876,  0.0151,  0.2876
10-Jan-17,APOLLOHOSP,1196.9,1190.7,  0.0052,  0.0143,  0.0139,  0.2657,1202.25,1195.55,  0.0056,  0.0141,  0.0137,  0.2622,  0.0139,  0.2657
10-Jan-17,APOLLOTYRE,194.45,186.25,  0.0431,  0.0164,  0.0191,  0.3649,195.15,187,  0.0427,  0.0168,  0.0194,  0.3704,  0.0194,  0.3704
10-Jan-17,ARVIND,362,359.45,  0.0071,  0.0222,  0.0216,  0.4131,363.55,360.8,  0.0076,  0.0224,  0.0218,  0.4167,  0.0218,  0.4167
10-Jan-17,ASHOKLEY,84.95,84.95,  0.0000,  0.0173,  0.0168,  0.3200,85.15,85.1,  0.0006,  0.0175,  0.0169,  0.3233,  0.0169,  0.3233
10-Jan-17,ASIANPAINT,923.6,910.1,  0.0147,  0.0165,  0.0164,  0.3136,926.75,913.45,  0.0145,  0.0158,  0.0158,  0.3012,  0.0164,  0.3136
10-Jan-17,AUROPHARMA,699.65,694.55,  0.0073,  0.0194,  0.0189,  0.3613,701.45,696.9,  0.0065,  0.0197,  0.0191,  0.3655,  0.0191,  0.3655
