Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.94*D*D + 0.06* C*C) or GARCH (1;1) model for INDIAVIX, Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.94*J*J + 0.06* I*I) or GARCH (1;1) model for INDIAVIX, Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
13-Jan-17,ABIRLANUVO,1256.85,1270.05, -0.0104,  0.0162,  0.0159,  0.3034,1259.75,1275.25, -0.0122,  0.0164,  0.0162,  0.3088,  0.0162,  0.3088
13-Jan-17,ACC,1329.5,1341.6, -0.0091,  0.0127,  0.0125,  0.2383,1333.3,1345.95, -0.0094,  0.0131,  0.0129,  0.2460,  0.0129,  0.2460
13-Jan-17,ADANIENT,78.5,80.15, -0.0208,  0.0181,  0.0182,  0.3485,78.65,80.5, -0.0232,  0.0188,  0.0191,  0.3645,  0.0191,  0.3645
13-Jan-17,ADANIPORTS,294.05,292.75,  0.0044,  0.0200,  0.0194,  0.3716,294.85,293.4,  0.0049,  0.0198,  0.0193,  0.3682,  0.0194,  0.3716
13-Jan-17,ADANIPOWER,36.15,36.45, -0.0083,  0.0283,  0.0275,  0.5249,36.25,36.65, -0.0110,  0.0284,  0.0277,  0.5284,  0.0277,  0.5284
13-Jan-17,AJANTPHARM,1797.1,1794.65,  0.0014,  0.0169,  0.0164,  0.3129,1801.9,1798.7,  0.0018,  0.0169,  0.0164,  0.3132,  0.0164,  0.3132
13-Jan-17,ALBK,65.65,65.75, -0.0015,  0.0186,  0.0181,  0.3455,65.45,65.55, -0.0015,  0.0193,  0.0188,  0.3583,  0.0188,  0.3583
13-Jan-17,AMARAJABAT,900.2,895.5,  0.0052,  0.0170,  0.0165,  0.3152,901.85,898.2,  0.0041,  0.0157,  0.0152,  0.2909,  0.0165,  0.3152
13-Jan-17,AMBUJACEM,213.25,214.25, -0.0047,  0.0174,  0.0169,  0.3237,213.8,214.65, -0.0040,  0.0166,  0.0162,  0.3087,  0.0169,  0.3237
13-Jan-17,ANDHRABANK,49.3,49.45, -0.0030,  0.0145,  0.0140,  0.2683,49.5,49.65, -0.0030,  0.0152,  0.0147,  0.2811,  0.0147,  0.2811
13-Jan-17,APOLLOHOSP,1187.4,1206, -0.0155,  0.0132,  0.0133,  0.2543,1192.6,1209.1, -0.0137,  0.0130,  0.0130,  0.2484,  0.0133,  0.2543
13-Jan-17,APOLLOTYRE,187.75,194.8, -0.0369,  0.0185,  0.0201,  0.3831,188.5,195.1, -0.0344,  0.0187,  0.0200,  0.3821,  0.0201,  0.3831
13-Jan-17,ARVIND,369.5,359.65,  0.0270,  0.0204,  0.0209,  0.3987,370.35,361.25,  0.0249,  0.0206,  0.0209,  0.3985,  0.0209,  0.3987
13-Jan-17,ASHOKLEY,84.55,84.3,  0.0030,  0.0163,  0.0158,  0.3020,84.9,84.65,  0.0029,  0.0163,  0.0158,  0.3023,  0.0158,  0.3023
13-Jan-17,ASIANPAINT,933.25,933.55, -0.0003,  0.0157,  0.0152,  0.2906,935.6,933.85,  0.0019,  0.0151,  0.0147,  0.2802,  0.0152,  0.2906
13-Jan-17,AUROPHARMA,704.45,694.8,  0.0138,  0.0182,  0.0180,  0.3434,704.55,696.6,  0.0113,  0.0184,  0.0181,  0.3455,  0.0181,  0.3455
13-Jan-17,AXISBANK,472.8,455.2,  0.0379,  0.0141,  0.0165,  0.3156,472.8,455.4,  0.0375,  0.0141,  0.0165,  0.3151,  0.0165,  0.3156
13-Jan-17,BAJAJ-AUTO,2708.55,2737.15, -0.0105,  0.0124,  0.0123,  0.2350,2717.9,2737.4, -0.0071,  0.0119,  0.0117,  0.2236,  0.0123,  0.2350
13-Jan-17,BAJFINANCE,900.05,891.2,  0.0099,  0.0246,  0.0240,  0.4579,902.5,892.75,  0.0109,  0.0239,  0.0233,  0.4451,  0.0240,  0.4579
