Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.94*D*D + 0.06* C*C) or GARCH (1;1) model for INDIAVIX, Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.94*J*J + 0.06* I*I) or GARCH (1;1) model for INDIAVIX, Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
11-Jan-17,ABIRLANUVO,1275,1265.3,  0.0076,  0.0171,  0.0166,  0.3180,1279.95,1270.65,  0.0073,  0.0173,  0.0169,  0.3223,  0.0169,  0.3223
11-Jan-17,ACC,1348.7,1319.6,  0.0218,  0.0122,  0.0130,  0.2482,1354.75,1324.15,  0.0228,  0.0125,  0.0134,  0.2556,  0.0134,  0.2556
11-Jan-17,ADANIENT,80.85,80.2,  0.0081,  0.0190,  0.0185,  0.3536,81.2,80.6,  0.0074,  0.0198,  0.0192,  0.3677,  0.0192,  0.3677
11-Jan-17,ADANIPORTS,295.65,293.9,  0.0059,  0.0211,  0.0205,  0.3918,295.75,294.8,  0.0032,  0.0210,  0.0204,  0.3890,  0.0205,  0.3918
11-Jan-17,ADANIPOWER,35.15,33.5,  0.0481,  0.0258,  0.0277,  0.5286,35.35,33.65,  0.0493,  0.0259,  0.0278,  0.5316,  0.0278,  0.5316
11-Jan-17,AJANTPHARM,1803.4,1803.45, -0.0000,  0.0179,  0.0174,  0.3320,1810.85,1807.2,  0.0020,  0.0179,  0.0174,  0.3315,  0.0174,  0.3320
11-Jan-17,ALBK,65.6,64.1,  0.0231,  0.0189,  0.0192,  0.3673,65.55,63.95,  0.0247,  0.0196,  0.0199,  0.3811,  0.0199,  0.3811
11-Jan-17,AMARAJABAT,906.8,902,  0.0053,  0.0177,  0.0172,  0.3288,910.1,905.35,  0.0052,  0.0163,  0.0158,  0.3022,  0.0172,  0.3288
11-Jan-17,AMBUJACEM,215.85,209.4,  0.0303,  0.0168,  0.0179,  0.3417,216.65,210.25,  0.0300,  0.0158,  0.0170,  0.3247,  0.0179,  0.3417
11-Jan-17,ANDHRABANK,49.75,48.65,  0.0224,  0.0142,  0.0148,  0.2835,49.9,48.8,  0.0223,  0.0151,  0.0156,  0.2977,  0.0156,  0.2977
11-Jan-17,APOLLOHOSP,1199.3,1196.9,  0.0020,  0.0139,  0.0135,  0.2578,1203.55,1202.25,  0.0011,  0.0137,  0.0133,  0.2543,  0.0135,  0.2578
11-Jan-17,APOLLOTYRE,197.1,194.45,  0.0135,  0.0191,  0.0188,  0.3594,197.55,195.15,  0.0122,  0.0194,  0.0190,  0.3637,  0.0190,  0.3637
11-Jan-17,ARVIND,362.4,362,  0.0011,  0.0216,  0.0210,  0.4006,363.85,363.55,  0.0008,  0.0218,  0.0211,  0.4040,  0.0211,  0.4040
11-Jan-17,ASHOKLEY,85.6,84.95,  0.0076,  0.0168,  0.0163,  0.3123,85.75,85.15,  0.0070,  0.0169,  0.0165,  0.3152,  0.0165,  0.3152
11-Jan-17,ASIANPAINT,934.65,923.6,  0.0119,  0.0164,  0.0162,  0.3091,937.8,926.75,  0.0119,  0.0158,  0.0156,  0.2973,  0.0162,  0.3091
11-Jan-17,AUROPHARMA,704.9,699.65,  0.0075,  0.0189,  0.0184,  0.3520,706.9,701.45,  0.0077,  0.0191,  0.0186,  0.3562,  0.0186,  0.3562
11-Jan-17,AXISBANK,453.6,447.35,  0.0139,  0.0145,  0.0145,  0.2771,453.85,447.65,  0.0138,  0.0146,  0.0145,  0.2779,  0.0145,  0.2779
11-Jan-17,BAJAJ-AUTO,2718.55,2740.75, -0.0081,  0.0129,  0.0127,  0.2423,2726.6,2741.3, -0.0054,  0.0126,  0.0123,  0.2344,  0.0127,  0.2423
11-Jan-17,BAJFINANCE,896.15,899.75, -0.0040,  0.0261,  0.0253,  0.4839,898.8,900.25, -0.0016,  0.0253,  0.0246,  0.4693,  0.0253,  0.4839
11-Jan-17,BANKBARODA,159.6,152.95,  0.0426,  0.0195,  0.0216,  0.4119,159.4,152.95,  0.0413,  0.0189,  0.0209,  0.3997,  0.0216,  0.4119
11-Jan-17,BANKINDIA,114.25,111.25,  0.0266,  0.0162,  0.0170,  0.3243,114.3,111.15,  0.0279,  0.0170,  0.0179,  0.3415,  0.0179,  0.3415
11-Jan-17,BANKNIFTY,18830,18409.6,  0.0226,  0.0096,  0.0108,  0.2069,18839.55,18430.7,  0.0219,  0.0094,  0.0106,  0.2019,  0.0108,  0.2069
