Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.94*D*D + 0.06* C*C) or GARCH (1;1) model for INDIAVIX, Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.94*J*J + 0.06* I*I) or GARCH (1;1) model for INDIAVIX, Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
02-Jan-17,ABIRLANUVO,1290.1,1281.2,  0.0069,  0.0200,  0.0195,  0.3721,1295.6,1285,  0.0082,  0.0207,  0.0202,  0.3853,  0.0202,  0.3853
02-Jan-17,ACC,1351.9,1331.05,  0.0155,  0.0132,  0.0134,  0.2555,1357.9,1328.3,  0.0220,  0.0133,  0.0140,  0.2668,  0.0140,  0.2668
02-Jan-17,ADANIENT,76.95,76.55,  0.0052,  0.0218,  0.0212,  0.4048,77.3,76.85,  0.0058,  0.0227,  0.0220,  0.4211,  0.0220,  0.4211
02-Jan-17,ADANIPORTS,273.8,268.45,  0.0197,  0.0202,  0.0202,  0.3857,274.85,268.55,  0.0232,  0.0200,  0.0202,  0.3852,  0.0202,  0.3857
02-Jan-17,ADANIPOWER,30.6,30.05,  0.0181,  0.0288,  0.0283,  0.5407,30.75,30.2,  0.0180,  0.0287,  0.0282,  0.5381,  0.0283,  0.5407
02-Jan-17,AJANTPHARM,1823.85,1782.8,  0.0228,  0.0202,  0.0204,  0.3894,1829.55,1786.7,  0.0237,  0.0196,  0.0199,  0.3801,  0.0204,  0.3894
02-Jan-17,ALBK,60.9,60.2,  0.0116,  0.0219,  0.0214,  0.4095,60.8,60.25,  0.0091,  0.0227,  0.0221,  0.4229,  0.0221,  0.4229
02-Jan-17,AMARAJABAT,896.6,870.3,  0.0298,  0.0171,  0.0182,  0.3468,897.65,874.1,  0.0266,  0.0169,  0.0176,  0.3365,  0.0182,  0.3468
02-Jan-17,AMBUJACEM,214.6,206.3,  0.0394,  0.0172,  0.0193,  0.3681,214.05,206.75,  0.0347,  0.0165,  0.0181,  0.3467,  0.0193,  0.3681
02-Jan-17,ANDHRABANK,47.7,47.45,  0.0053,  0.0172,  0.0167,  0.3198,47.9,47.65,  0.0052,  0.0183,  0.0178,  0.3392,  0.0178,  0.3392
02-Jan-17,APOLLOHOSP,1189.2,1179.9,  0.0079,  0.0158,  0.0154,  0.2947,1189.5,1180.85,  0.0073,  0.0156,  0.0152,  0.2905,  0.0154,  0.2947
02-Jan-17,APOLLOTYRE,185.85,184.9,  0.0051,  0.0185,  0.0180,  0.3444,186.9,185.45,  0.0078,  0.0190,  0.0186,  0.3547,  0.0186,  0.3547
02-Jan-17,ARVIND,352.15,352.95, -0.0023,  0.0252,  0.0245,  0.4672,353.8,353.65,  0.0004,  0.0259,  0.0251,  0.4792,  0.0251,  0.4792
02-Jan-17,ASHOKLEY,81,80.1,  0.0112,  0.0179,  0.0175,  0.3349,81.4,80.3,  0.0136,  0.0179,  0.0177,  0.3372,  0.0177,  0.3372
02-Jan-17,ASIANPAINT,904.65,891.05,  0.0151,  0.0174,  0.0173,  0.3298,906.45,892.15,  0.0159,  0.0168,  0.0167,  0.3193,  0.0173,  0.3298
02-Jan-17,AUROPHARMA,675.5,669.3,  0.0092,  0.0216,  0.0210,  0.4018,676.15,669.85,  0.0094,  0.0218,  0.0213,  0.4069,  0.0213,  0.4069
02-Jan-17,AXISBANK,447.75,449.95, -0.0049,  0.0166,  0.0162,  0.3086,448.7,450.75, -0.0046,  0.0167,  0.0162,  0.3103,  0.0162,  0.3103
02-Jan-17,BAJAJ-AUTO,2598.5,2632.2, -0.0129,  0.0132,  0.0131,  0.2512,2601.75,2639.8, -0.0145,  0.0125,  0.0127,  0.2418,  0.0131,  0.2512
02-Jan-17,BAJFINANCE,870.05,842.2,  0.0325,  0.0278,  0.0282,  0.5378,871.15,838.65,  0.0380,  0.0270,  0.0277,  0.5301,  0.0282,  0.5378
02-Jan-17,BANKBARODA,148.9,153.4, -0.0298,  0.0218,  0.0224,  0.4277,149.5,153.2, -0.0244,  0.0217,  0.0219,  0.4176,  0.0224,  0.4277
02-Jan-17,BANKINDIA,107.45,107.25,  0.0019,  0.0191,  0.0185,  0.3533,106.9,105.95,  0.0089,  0.0199,  0.0194,  0.3703,  0.0194,  0.3703
02-Jan-17,BANKNIFTY,17969.6,18177.2, -0.0115,  0.0103,  0.0104,  0.1985,18034.3,18195.55, -0.0089,  0.0104,  0.0103,  0.1973,  0.0104,  0.1985
02-Jan-17,BATAINDIA,447.15,450.4, -0.0072,  0.0148,  0.0145,  0.2768,447.8,443.4,  0.0099,  0.0154,  0.0152,  0.2897,  0.0152,  0.2897
02-Jan-17,BEL,1365.5,1375.05, -0.0070,  0.0158,  0.0154,  0.2946,1371.5,1379.15, -0.0056,  0.0163,  0.0159,  0.3030,  0.0159,  0.3030
02-Jan-17,BEML,996.3,1000.6, -0.0043,  0.0218,  0.0212,  0.4045,1000.05,1002.35, -0.0023,  0.0223,  0.0216,  0.4126,  0.0216,  0.4126
02-Jan-17,BHARATFIN,602.25,587.9,  0.0241,  0.0478,  0.0467,  0.8921,605.5,589.45,  0.0269,  0.0480,  0.0470,  0.8978,  0.0470,  0.8978
02-Jan-17,BHARATFORG,924.5,906.55,  0.0196,  0.0200,  0.0200,  0.3819,929.2,909.45,  0.0215,  0.0203,  0.0203,  0.3886,  0.0203,  0.3886
