Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.94*D*D + 0.06* C*C) or GARCH (1;1) model for INDIAVIX, Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.94*J*J + 0.06* I*I) or GARCH (1;1) model for INDIAVIX, Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
05-Jan-17,TATAELXSI,1433.1,1419.3,  0.0097,  0.0222,  0.0216,  0.4136,1438.3,1425.35,  0.0090,  0.0226,  0.0221,  0.4216,  0.0221,  0.4216
05-Jan-17,TATAGLOBAL,125.2,124.45,  0.0060,  0.0160,  0.0156,  0.2972,125.65,124.8,  0.0068,  0.0159,  0.0156,  0.2971,  0.0156,  0.2972
05-Jan-17,TATAMOTORS,502.15,486.65,  0.0314,  0.0201,  0.0210,  0.4007,502.3,487.8,  0.0293,  0.0201,  0.0207,  0.3964,  0.0210,  0.4007
05-Jan-17,TATAMTRDVR,322.95,310.25,  0.0401,  0.0201,  0.0218,  0.4166,323.15,311.2,  0.0377,  0.0197,  0.0212,  0.4059,  0.0218,  0.4166
05-Jan-17,TATAPOWER,76.85,75.8,  0.0138,  0.0135,  0.0135,  0.2581,77.2,76.1,  0.0144,  0.0135,  0.0136,  0.2590,  0.0136,  0.2590
05-Jan-17,TATASTEEL,419.3,405.45,  0.0336,  0.0212,  0.0221,  0.4231,419.85,405.8,  0.0340,  0.0211,  0.0221,  0.4228,  0.0221,  0.4231
05-Jan-17,TCS,2334.4,2379.5, -0.0191,  0.0125,  0.0130,  0.2488,2339.05,2374.55, -0.0151,  0.0121,  0.0123,  0.2351,  0.0130,  0.2488
05-Jan-17,TECHM,488.1,500.6, -0.0253,  0.0153,  0.0161,  0.3078,490.1,501.55, -0.0231,  0.0154,  0.0159,  0.3046,  0.0161,  0.3078
05-Jan-17,TITAN,358.05,359.65, -0.0045,  0.0227,  0.0220,  0.4207,358.65,359.8, -0.0032,  0.0225,  0.0218,  0.4163,  0.0220,  0.4207
05-Jan-17,TORNTPHARM,1357.6,1349.65,  0.0059,  0.0175,  0.0170,  0.3250,1360.5,1347.8,  0.0094,  0.0171,  0.0168,  0.3202,  0.0170,  0.3250
05-Jan-17,TORNTPOWER,181.7,179,  0.0150,  0.0136,  0.0137,  0.2615,182.45,179.65,  0.0155,  0.0138,  0.0139,  0.2657,  0.0139,  0.2657
05-Jan-17,TV18BRDCST,38,37.45,  0.0146,  0.0169,  0.0167,  0.3200,38.2,37.5,  0.0185,  0.0177,  0.0177,  0.3387,  0.0177,  0.3387
05-Jan-17,TVSMOTOR,384.8,375.25,  0.0251,  0.0193,  0.0197,  0.3762,377.8,366.3,  0.0309,  0.0190,  0.0200,  0.3813,  0.0200,  0.3813
05-Jan-17,UBL,808.75,797.5,  0.0140,  0.0145,  0.0145,  0.2768,809.5,799.1,  0.0129,  0.0143,  0.0143,  0.2725,  0.0145,  0.2768
05-Jan-17,ULTRACEMCO,3382.85,3301.4,  0.0244,  0.0186,  0.0190,  0.3625,3373.4,3288,  0.0256,  0.0182,  0.0187,  0.3576,  0.0190,  0.3625
05-Jan-17,UNIONBANK,127.9,125.55,  0.0185,  0.0207,  0.0206,  0.3928,124.45,121.6,  0.0232,  0.0213,  0.0214,  0.4090,  0.0214,  0.4090
05-Jan-17,UPL,674.6,667.55,  0.0105,  0.0215,  0.0210,  0.4017,675.15,668.1,  0.0105,  0.0209,  0.0205,  0.3909,  0.0210,  0.4017
05-Jan-17,VEDL,227.65,216.8,  0.0488,  0.0237,  0.0259,  0.4954,227.7,217.5,  0.0458,  0.0230,  0.0250,  0.4770,  0.0259,  0.4954
05-Jan-17,VOLTAS,344.45,335.8,  0.0254,  0.0203,  0.0207,  0.3945,341.1,332.15,  0.0266,  0.0219,  0.0222,  0.4239,  0.0222,  0.4239
05-Jan-17,WIPRO,480.4,475.6,  0.0100,  0.0107,  0.0107,  0.2046,481.2,477,  0.0088,  0.0105,  0.0104,  0.1979,  0.0107,  0.2046
05-Jan-17,WOCKPHARMA,673.45,665.6,  0.0117,  0.0151,  0.0149,  0.2855,675.3,666.7,  0.0128,  0.0163,  0.0161,  0.3079,  0.0161,  0.3079
05-Jan-17,YESBANK,1210.2,1163.15,  0.0397,  0.0184,  0.0203,  0.3873,1210.9,1165.1,  0.0386,  0.0182,  0.0200,  0.3824,  0.0203,  0.3873
05-Jan-17,ZEEL,470.7,458.6,  0.0260,  0.0172,  0.0178,  0.3406,471.9,459.05,  0.0276,  0.0166,  0.0175,  0.3341,  0.0178,  0.3406
