CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR23-FEB-2017CE64.25,4.1625,0,0,0,,4.0625,.1,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.5,3.915,0,0,0,,3.815,.1,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.75,3.6675,0,0,0,,3.5675,.1,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65,3.42,0,0,0,,3.32,.1,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.25,3.1725,0,0,0,,3.075,.0975,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.5,2.93,0,0,0,,2.83,.1,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.75,2.6875,0,0,0,,2.59,.0975,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66,2.45,0,0,0,,2.35,.1,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.25,2.215,0,0,0,,2.1175,.0975,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.5,1.9875,0,0,0,,1.89,.0975,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.75,1.765,0,0,0,,1.67,.095,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67,1.61,1.275,1.275,1.26,1.26,1.26,.35,10,5,5,,341315,6315
OPTCURUSDINR23-FEB-2017CE67.25,1.3525,0,0,0,,1.26,.0925,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67.5,1.095,.88,.915,.88,.915,.915,.18,282,3,3,,205210,2710
OPTCURUSDINR23-FEB-2017CE67.75,.9875,0,0,0,,.9025,.085,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE68,.7275,.615,.7,.5225,.6925,.6925,.035,20459,5086,5086,,348904320,3056320
OPTCURUSDINR23-FEB-2017CE68.25,.685,.46,.53,.4525,.53,.53,.155,491,56,56,,3847510,25510
OPTCURUSDINR23-FEB-2017CE68.5,.485,.41,.465,.325,.46,.46,.025,24036,13675,13675,,942160832.5,5423332.5
OPTCURUSDINR23-FEB-2017CE68.75,.445,.315,.35,.27,.35,.35,.095,53,55,55,,3796360,15110
OPTCURUSDINR23-FEB-2017CE69,.315,.2425,.31,.2025,.2925,.2925,.0225,178249,38667,38667,,2679038952.5,11015952.5
OPTCURUSDINR23-FEB-2017CE69.25,.2725,0,0,0,,.2275,.045,56,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE69.5,.2075,.1625,.1975,.13,.1825,.1825,.025,71472,20754,20754,,1445973090,3570090
OPTCURUSDINR23-FEB-2017CE69.75,.1575,0,0,0,,.125,.0325,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70,.13,.105,.125,.085,.125,.125,.005,27726,1544,1544,,108249952.5,169952.5
OPTCURUSDINR23-FEB-2017CE70.25,.0825,0,0,0,,.0625,.02,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70.5,.06,0,0,0,,.045,.015,104,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70.75,.0925,0,0,0,,.03,.0625,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71,.0375,.0375,.04,.0375,.04,.04,.0025,3117,30,30,,2131150,1150
OPTCURUSDINR23-FEB-2017CE71.25,.02,0,0,0,,.0125,.0075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71.5,.0125,0,0,0,,.01,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71.75,.01,0,0,0,,.005,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.25,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.5,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.75,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65,.005,0,0,0,,.005,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.25,.0075,0,0,0,,.0075,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.5,.0125,0,0,0,,.0125,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.75,.02,0,0,0,,.02,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66,.03,0,0,0,,.03,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66.25,.045,0,0,0,,.045,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66.5,.065,.04,.04,.04,.04,.04,.025,502,100,100,,6654000,4000
OPTCURUSDINR23-FEB-2017PE66.75,.0925,0,0,0,,.0925,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE67,.0475,.08,.1025,.08,.1025,.1025,.055,1440,270,270,,18114425,24425
OPTCURUSDINR23-FEB-2017PE67.25,.175,0,0,0,,.1825,.0075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE67.5,.14,.17,.22,.16,.185,.185,.045,25748,24982,24982,,1691203810,4918810
OPTCURUSDINR23-FEB-2017PE67.75,.3075,0,0,0,,.3225,.015,40,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE68,.2925,.3475,.415,.3325,.3625,.3625,.07,59092,26587,26587,,1817931460,10015460
OPTCURUSDINR23-FEB-2017PE68.25,.365,0,0,0,,.5275,.1625,143,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE68.5,.54,.605,.71,.6025,.625,.625,.085,11952,4724,4724,,326799840,3205840
OPTCURUSDINR23-FEB-2017PE68.75,.76,0,0,0,,.8,.04,1,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE69,.86,.99,1.095,.94,.9525,.9525,.0925,47111,1601,1601,,112061207.5,1592207.5
OPTCURUSDINR23-FEB-2017PE69.25,1.085,0,0,0,,1.1375,.0525,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE69.5,1.27,0,0,0,,1.33,.06,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE69.75,1.465,0,0,0,,1.5325,.0675,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70,1.6725,0,0,0,,1.7475,.075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.25,1.89,0,0,0,,1.97,.08,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.5,2.115,0,0,0,,2.1975,.0825,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.75,2.345,0,0,0,,2.4325,.0875,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71,2.58,0,0,0,,2.6725,.0925,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.25,2.82,0,0,0,,2.9125,.0925,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.5,3.0625,0,0,0,,3.1575,.095,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.75,3.3075,0,0,0,,3.4025,.095,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE63.5,4.7075,0,0,0,,4.61,.0975,293,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE63.75,4.4575,0,0,0,,4.36,.0975,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE64,4.2,4.04,4.04,3.8625,3.97,3.97,.23,5239,54,54,,3665237.5,209237.5
OPTCURUSDINR27-JAN-2017CE64.25,3.96,0,0,0,,3.8625,.0975,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE64.5,3.71,0,0,0,,3.6125,.0975,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE64.75,3.46,0,0,0,,3.3625,.0975,134,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE65,3.2125,3.05,3.05,2.97,2.97,2.97,.2425,4779,102,102,,6938240,308240
OPTCURUSDINR27-JAN-2017CE65.25,2.9625,0,0,0,,2.865,.0975,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE65.5,2.7125,2.4525,2.4525,2.4525,2.4525,2.4525,.26,2259,1,1,,67952.5,2452.5
OPTCURUSDINR27-JAN-2017CE65.75,2.465,0,0,0,,2.3675,.0975,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE66,2.2175,2.05,2.05,2.05,2.05,2.05,.1675,3737,10,10,,680500,20500
OPTCURUSDINR27-JAN-2017CE66.25,1.9725,0,0,0,,1.875,.0975,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE66.5,1.7375,1.7,1.7,1.385,1.5925,1.5925,.145,5196,81,81,,5503100,116600
OPTCURUSDINR27-JAN-2017CE66.75,1.4975,0,0,0,,1.3975,.1,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE67,1.2225,1.22,1.22,.92,1.1325,1.1325,.09,30654,2323,2323,,158181845,2540845
OPTCURUSDINR27-JAN-2017CE67.25,1.055,0,0,0,,.96,.095,185,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE67.5,.7875,.645,.72,.525,.7025,.7025,.085,170971,80421,80421,,5475155085,46737585
OPTCURUSDINR27-JAN-2017CE67.75,.5925,.4775,.525,.38,.5225,.5225,.07,8902,9606,9606,,654936407.5,4129907.5
OPTCURUSDINR27-JAN-2017CE68,.4525,.315,.4,.2675,.39,.39,.0625,218069,308651,308651,,21089822770,101554770
OPTCURUSDINR27-JAN-2017CE68.25,.3275,.295,.295,.19,.2775,.2775,.05,58480,81804,81804,,5601690827.5,18567827.5
OPTCURUSDINR27-JAN-2017CE68.5,.235,.18,.205,.1325,.1975,.1975,.0375,241329,196952,196952,,13523853190,32641190
OPTCURUSDINR27-JAN-2017CE68.75,.1725,.115,.145,.0925,.14,.14,.0325,23724,41713,41713,,2872679182.5,4910432.5
OPTCURUSDINR27-JAN-2017CE69,.125,.0975,.1025,.065,.0975,.0975,.0275,491578,284598,284598,,19660000570,22738570
OPTCURUSDINR27-JAN-2017CE69.25,.0875,.06,.07,.045,.0625,.0625,.025,17443,4142,4142,,287066090,232590
OPTCURUSDINR27-JAN-2017CE69.5,.0625,.035,.05,.0325,.0475,.0475,.015,81975,59938,59938,,4167997180,2306180
OPTCURUSDINR27-JAN-2017CE69.75,.04,.015,.015,.015,.015,.015,.025,20686,8477,8477,,591397905,127155
OPTCURUSDINR27-JAN-2017CE70,.03,.02,.0225,.015,.0225,.0225,.0075,32573,10917,10917,,764393315,203315
OPTCURUSDINR27-JAN-2017CE70.25,.0175,0,0,0,,.005,.0125,9469,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE70.5,.015,.0125,.0125,.01,.01,.01,.005,22461,9100,9100,,641647000,97000
OPTCURUSDINR27-JAN-2017CE70.75,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE71,.0125,.0075,.0075,.0075,.0075,.0075,.005,28880,802,802,,56948015,6015
OPTCURUSDINR27-JAN-2017CE71.25,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE71.5,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE71.75,.0025,0,0,0,,0,.0025,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE63.5,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE63.75,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE64,.0025,.0025,.0025,.0025,.0025,.0025,0,2615,50,50,,3200125,125
OPTCURUSDINR27-JAN-2017PE64.25,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE64.5,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE64.75,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE65,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE65.25,.0025,0,0,0,,.0025,0,0,0,0,,0,0
