CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTCUREURINR27-JAN-2017,72.59,72.5825,72.81,72.4275,72.75,72.75,.22,37535,42215,42215,3067466332.5
FUTCUREURINR23-FEB-2017,72.9325,72.8075,73.1375,72.77,73.0875,73.0875,.21,28099,9336,9336,681989087.5
FUTCUREURINR29-MAR-2017,73.18,73.15,73.35,73.15,73.35,73.575,.53,1763,191,191,13998217.5
FUTCUREURINR26-APR-2017,73.4075,0,0,0,,73.9425,.72,271,0,0,0
FUTCUREURINR29-MAY-2017,74.2425,0,0,0,,74.34,.13,2,0,0,0
FUTCUREURINR28-JUN-2017,74.63,0,0,0,,74.7275,.13,0,0,0,0
FUTCUREURINR27-JUL-2017,75.005,0,0,0,,75.105,.13,16,0,0,0
FUTCUREURINR29-AUG-2017,75.43,0,0,0,,75.5325,.13,0,0,0,0
FUTCUREURINR27-SEP-2017,75.81,0,0,0,,75.915,.13,0,0,0,0
FUTCUREURINR27-OCT-2017,76.205,0,0,0,,76.3125,.14,0,0,0,0
FUTCUREURINR28-NOV-2017,76.6275,0,0,0,,76.7375,.14,0,0,0,0
FUTCUREURINR27-DEC-2017,77.0125,0,0,0,,77.125,.14,0,0,0,0
FUTCURGBPINR27-JAN-2017,83.75,83.1375,83.6,83.0275,83.4925,83.4925,-.3,26244,56494,56494,4704976205
FUTCURGBPINR23-FEB-2017,84.095,83.45,83.95,83.4025,83.8525,83.8525,-.28,8029,2514,2514,210214582.5
FUTCURGBPINR29-MAR-2017,84.4,83.8,84.2025,83.75,84.2025,84.2025,-.23,243,41,41,3440820
FUTCURGBPINR26-APR-2017,84.635,83.8025,84.75,83.8025,84.58,84.58,-.06,104,54,54,4566502.5
FUTCURGBPINR29-MAY-2017,85.3575,0,0,0,,84.97,-.45,78,0,0,0
FUTCURGBPINR28-JUN-2017,85.7475,0,0,0,,85.3625,-.44,0,0,0,0
FUTCURGBPINR27-JUL-2017,86.1275,0,0,0,,85.74,-.44,0,0,0,0
FUTCURGBPINR29-AUG-2017,86.5,0,0,0,,86.12,-.43,0,0,0,0
FUTCURGBPINR27-SEP-2017,86.875,0,0,0,,86.4975,-.43,5,0,0,0
FUTCURGBPINR27-OCT-2017,87.265,0,0,0,,86.8875,-.43,0,0,0,0
FUTCURGBPINR28-NOV-2017,87.6825,0,0,0,,87.305,-.43,0,0,0,0
FUTCURGBPINR27-DEC-2017,88.0625,0,0,0,,87.6875,-.42,0,0,0,0
FUTCURJPYINR27-JAN-2017,59.72,59.4,60.3,59.285,59.6175,59.6175,-.17,20917,35108,35108,2089594532.5
FUTCURJPYINR23-FEB-2017,59.985,59.7,60.015,59.63,59.905,59.905,-.13,4377,2207,2207,131954352.5
FUTCURJPYINR29-MAR-2017,60.3375,60.06,60.06,60.06,60.06,60.2425,-.15,138,3,3,180180
FUTCURJPYINR26-APR-2017,60.625,0,0,0,,60.5275,-.16,0,0,0,0
FUTCURJPYINR29-MAY-2017,60.935,0,0,0,,60.8475,-.14,0,0,0,0
FUTCURJPYINR28-JUN-2017,61.24,0,0,0,,61.1525,-.14,0,0,0,0
FUTCURJPYINR27-JUL-2017,61.535,0,0,0,,61.4475,-.14,0,0,0,0
FUTCURJPYINR29-AUG-2017,61.885,0,0,0,,61.8,-.13,0,0,0,0
FUTCURJPYINR27-SEP-2017,62.185,0,0,0,,62.1,-.13,0,0,0,0
FUTCURJPYINR27-OCT-2017,62.4975,0,0,0,,62.4125,-.13,0,0,0,0
FUTCURJPYINR28-NOV-2017,62.8325,0,0,0,,62.75,-.13,0,0,0,0
FUTCURJPYINR27-DEC-2017,63.135,0,0,0,,63.055,-.12,0,0,0,0
FUTCURUSDINR27-JAN-2017,68.2,68.2725,68.375,68.2475,68.28,68.28,.11,1866779,712363,712363,48669758350
FUTCURUSDINR23-FEB-2017,68.4425,68.485,68.615,68.485,68.5225,68.5225,.11,397938,82399,82399,5649619190
FUTCURUSDINR29-MAR-2017,68.6925,68.79,68.875,68.75,68.7875,68.7875,.13,130740,15654,15654,1077563252.5
FUTCURUSDINR26-APR-2017,68.9925,69.0625,69.1475,69.04,69.065,69.065,.1,51399,2417,2417,166997032.5
FUTCURUSDINR29-MAY-2017,69.2075,69.26,69.345,69.2525,69.29,69.29,.11,19678,511,511,35424792.5
FUTCURUSDINR28-JUN-2017,69.425,69.4725,69.56,69.455,69.455,69.455,.04,9631,422,422,29341255
FUTCURUSDINR27-JUL-2017,69.62,69.705,69.755,69.68,69.72,69.72,.14,2708,193,193,13456342.5
FUTCURUSDINR29-AUG-2017,70.04,69.8,69.85,69.8,69.85,70.12,.11,2739,2,2,139650
FUTCURUSDINR27-SEP-2017,70.2925,70.2,70.2,70.15,70.15,70.375,.11,3804,4,4,280700
FUTCURUSDINR27-OCT-2017,70.11,70.25,70.25,70.25,70.25,70.25,.19,15974,1,1,70250
FUTCURUSDINR28-NOV-2017,70.3325,70.4625,70.5,70.45,70.45,70.45,.16,3760,20,20,1409575
FUTCURUSDINR27-DEC-2017,70.6425,70.75,70.75,70.6025,70.6525,70.6525,.01,3337,156,156,11025370
