CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR23-FEB-2017CE64.25,4.085,0,0,0,,4.3025,.2175,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.5,3.835,0,0,0,,4.0525,.2175,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.75,3.5875,0,0,0,,3.805,.2175,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65,3.34,0,0,0,,3.5575,.2175,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.25,3.095,0,0,0,,3.31,.215,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.5,2.8475,0,0,0,,3.0625,.215,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.75,2.605,0,0,0,,2.8175,.2125,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66,2.365,0,0,0,,2.575,.21,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.25,2.13,0,0,0,,2.335,.205,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.5,1.9,0,0,0,,2.0975,.1975,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.75,1.675,0,0,0,,1.8675,.1925,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67,1.4625,1.6,1.62,1.6,1.62,1.62,.1575,43,37,37,,2538820,59820
OPTCURUSDINR23-FEB-2017CE67.25,1.26,0,0,0,,1.43,.17,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67.5,.9975,1.18,1.2225,1.18,1.2225,1.2225,.225,2288,1501,1501,,103119222.5,1801722.5
OPTCURUSDINR23-FEB-2017CE67.75,.77,0,0,0,,1.04,.27,1,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE68,.665,.79,.855,.78,.8325,.8325,.1675,22600,2332,2332,,160511105,1935105
OPTCURUSDINR23-FEB-2017CE68.25,.56,.6675,.695,.6675,.695,.695,.135,592,25,25,,1723317.5,17067.5
OPTCURUSDINR23-FEB-2017CE68.5,.43,.51,.565,.51,.555,.555,.125,24435,2860,2860,,197464015,1554015
OPTCURUSDINR23-FEB-2017CE68.75,.3725,.44,.44,.44,.44,.44,.0675,153,100,100,,6919000,44000
OPTCURUSDINR23-FEB-2017CE69,.2725,.3275,.3625,.3225,.35,.35,.0775,209229,49077,49077,,3403101700,16788700
OPTCURUSDINR23-FEB-2017CE69.25,.215,0,0,0,,.2675,.0525,56,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE69.5,.1675,.2025,.22,.1925,.21,.21,.0425,103290,32881,32881,,2291935987.5,6706487.5
OPTCURUSDINR23-FEB-2017CE69.75,.115,0,0,0,,.1475,.0325,0,0,0,,0,0
