CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR23-FEB-2017CE64.25,4.3025,0,0,0,,4.295,.0075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.5,4.0525,0,0,0,,4.0475,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.75,3.805,0,0,0,,3.8,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65,3.5575,0,0,0,,3.55,.0075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.25,3.31,0,0,0,,3.3025,.0075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.5,3.0625,0,0,0,,3.055,.0075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.75,2.8175,0,0,0,,2.81,.0075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66,2.575,0,0,0,,2.565,.01,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.25,2.335,0,0,0,,2.325,.01,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.5,2.0975,0,0,0,,2.0875,.01,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.75,1.8675,0,0,0,,1.855,.0125,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67,1.62,0,0,0,,1.63,.01,43,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67.25,1.43,0,0,0,,1.4125,.0175,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67.5,1.2225,1.035,1.17,1.035,1.15,1.15,.0725,2808,520,520,,35704670,604670
OPTCURUSDINR23-FEB-2017CE67.75,1.04,0,0,0,,1.0175,.0225,1,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE68,.8325,.69,.81,.6725,.795,.795,.0375,23201,1439,1439,,98959895,1107895
OPTCURUSDINR23-FEB-2017CE68.25,.695,.6575,.6575,.6575,.6575,.6575,.0375,592,19,19,,1309242.5,12492.5
OPTCURUSDINR23-FEB-2017CE68.5,.555,.4375,.525,.4375,.52,.52,.035,23383,2198,2198,,151630732.5,1067732.5
OPTCURUSDINR23-FEB-2017CE68.75,.44,0,0,0,,.43,.01,153,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE69,.35,.2875,.335,.2625,.3225,.3225,.0275,229474,45101,45101,,3125753450,13784450
OPTCURUSDINR23-FEB-2017CE69.25,.2675,.185,.2475,.185,.2475,.2475,.02,8618,8563,8563,,594589030,1601280
