CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR23-FEB-2017CE64.25,4.0625,0,0,0,,4.3475,.285,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.5,3.8125,0,0,0,,4.1,.2875,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.75,3.5675,0,0,0,,3.8525,.285,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65,3.32,0,0,0,,3.605,.285,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.25,3.075,0,0,0,,3.36,.285,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.5,2.8325,0,0,0,,3.115,.2825,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.75,2.5925,0,0,0,,2.87,.2775,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66,2.355,0,0,0,,2.63,.275,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.25,2.125,0,0,0,,2.395,.27,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.5,1.8975,0,0,0,,2.1625,.265,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.75,1.6825,0,0,0,,1.9375,.255,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67,1.4725,0,0,0,,1.7175,.245,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67.25,1.2775,0,0,0,,1.51,.2325,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67.5,1,1.08,1.1125,1.07,1.1125,1.1125,.1125,210,202,202,,13853182.5,218182.5
OPTCURUSDINR23-FEB-2017CE67.75,.925,0,0,0,,1.1275,.2025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE68,.665,.675,.8475,.67,.805,.805,.14,8723,8324,8324,,572009360,5977360
OPTCURUSDINR23-FEB-2017CE68.25,.5675,.605,.605,.605,.605,.605,.0375,435,262,262,,18040010,158510
OPTCURUSDINR23-FEB-2017CE68.5,.44,.445,.5775,.445,.5625,.5625,.1225,5051,577,577,,39819162.5,294662.5
OPTCURUSDINR23-FEB-2017CE68.75,.41,0,0,0,,.54,.13,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE69,.275,.2875,.3775,.2525,.355,.355,.08,159337,16973,16973,,1176266322.5,5129322.5
OPTCURUSDINR23-FEB-2017CE69.25,.2475,0,0,0,,.3425,.095,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE69.5,.1725,.16,.2425,.16,.22,.22,.0475,53458,30176,30176,,2102848885,5616885
OPTCURUSDINR23-FEB-2017CE69.75,.14,0,0,0,,.2025,.0625,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70,.1125,.0975,.145,.0975,.1425,.1425,.03,32554,10591,10591,,742598890,1228890
OPTCURUSDINR23-FEB-2017CE70.25,.075,0,0,0,,.1125,.0375,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70.5,.0525,.08,.08,.08,.08,.08,.0275,104,100,100,,7058000,8000
OPTCURUSDINR23-FEB-2017CE70.75,.0375,.015,.015,.015,.015,.015,.0225,8950,8950,8950,,633346750,134250
OPTCURUSDINR23-FEB-2017CE71,.0325,.035,.035,.035,.035,.035,.0025,3026,20,20,,1420700,700
OPTCURUSDINR23-FEB-2017CE71.25,.0175,0,0,0,,.0275,.01,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71.5,.0125,0,0,0,,.02,.0075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71.75,.0075,0,0,0,,.0125,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.25,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.5,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.75,.005,0,0,0,,.0025,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65,.0075,0,0,0,,.005,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.25,.01,0,0,0,,.0075,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.5,.015,0,0,0,,.01,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.75,.025,0,0,0,,.015,.01,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66,.035,0,0,0,,.025,.01,0,0,0,,0,0
