CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTCUREURINR27-JAN-2017,72.375,72.205,72.3,72.0275,72.08,72.08,-.4,34617,44359,44359,3201972867.5
FUTCUREURINR23-FEB-2017,72.705,72.55,72.62,72.37,72.42,72.42,-.39,16955,3391,3391,245841182.5
FUTCUREURINR29-MAR-2017,73.1875,73,73,72.645,72.66,72.66,-.72,1557,39,39,2837720
FUTCUREURINR26-APR-2017,73.5525,73.1,73.3,73.1,73.3,73.25,-.41,116,3,3,219510
FUTCUREURINR29-MAY-2017,73.95,0,0,0,,73.645,-.41,2,0,0,0
FUTCUREURINR28-JUN-2017,74.34,0,0,0,,74.0325,-.41,0,0,0,0
FUTCUREURINR27-JUL-2017,74.7175,73.7225,73.7225,73.7225,73.7225,74.4075,-.41,16,10,10,737225
FUTCUREURINR29-AUG-2017,75.135,0,0,0,,74.825,-.41,0,0,0,0
FUTCUREURINR27-SEP-2017,75.515,0,0,0,,75.205,-.41,0,0,0,0
FUTCUREURINR27-OCT-2017,75.91,0,0,0,,75.6,-.4,0,0,0,0
FUTCUREURINR28-NOV-2017,76.3325,0,0,0,,76.0225,-.4,0,0,0,0
FUTCUREURINR27-DEC-2017,76.72,0,0,0,,76.4075,-.4,0,0,0,0
FUTCURGBPINR27-JAN-2017,83.12,83.24,83.38,82.9575,83.1925,83.1925,.08,32867,70873,70873,5896315715
FUTCURGBPINR23-FEB-2017,83.4875,83.645,83.72,83.3225,83.54,83.54,.06,7230,4842,4842,404779855
FUTCURGBPINR29-MAR-2017,83.825,84,84.29,83.6,83.91,83.91,.1,200,37,37,3104377.5
FUTCURGBPINR26-APR-2017,84.25,84.1,84.1,84.1,84.1,84.35,.11,152,3,3,252300
FUTCURGBPINR29-MAY-2017,84.6325,0,0,0,,84.73,.11,78,0,0,0
FUTCURGBPINR28-JUN-2017,85.0225,0,0,0,,85.1225,.11,0,0,0,0
FUTCURGBPINR27-JUL-2017,85.4025,0,0,0,,85.5025,.11,0,0,0,0
FUTCURGBPINR29-AUG-2017,85.765,0,0,0,,85.8675,.11,0,0,0,0
FUTCURGBPINR27-SEP-2017,86.14,0,0,0,,86.2425,.11,5,0,0,0
FUTCURGBPINR27-OCT-2017,86.53,0,0,0,,86.6325,.11,0,0,0,0
FUTCURGBPINR28-NOV-2017,86.945,0,0,0,,87.05,.12,0,0,0,0
FUTCURGBPINR27-DEC-2017,87.325,0,0,0,,87.4325,.12,0,0,0,0
FUTCURJPYINR27-JAN-2017,58.9525,58.985,59.1025,58.8675,58.92,58.92,-.05,24585,25716,25716,1516950187.5
FUTCURJPYINR23-FEB-2017,59.24,59.175,59.3725,59.15,59.2075,59.2075,-.05,3546,1490,1490,88259805
FUTCURJPYINR29-MAR-2017,59.45,0,0,0,,59.56,.18,82,0,0,0
FUTCURJPYINR26-APR-2017,59.8975,0,0,0,,59.845,-.08,0,0,0,0
FUTCURJPYINR29-MAY-2017,60.2175,0,0,0,,60.1625,-.09,0,0,0,0
FUTCURJPYINR28-JUN-2017,60.52,0,0,0,,60.465,-.09,0,0,0,0
FUTCURJPYINR27-JUL-2017,60.815,0,0,0,,60.76,-.09,0,0,0,0
FUTCURJPYINR29-AUG-2017,61.1575,0,0,0,,61.1025,-.08,0,0,0,0
FUTCURJPYINR27-SEP-2017,61.455,0,0,0,,61.4,-.08,0,0,0,0
FUTCURJPYINR27-OCT-2017,61.765,0,0,0,,61.7125,-.08,0,0,0,0
FUTCURJPYINR28-NOV-2017,62.0975,0,0,0,,62.045,-.08,0,0,0,0
FUTCURJPYINR27-DEC-2017,62.4025,0,0,0,,62.3475,-.08,0,0,0,0
FUTCURUSDINR27-JAN-2017,68.33,68.3675,68.5075,68.31,68.4625,68.4625,.19,1980927,1748127,1748127,119645058787.5
FUTCURUSDINR23-FEB-2017,68.565,68.5975,68.755,68.5475,68.7125,68.7125,.21,372444,201311,201311,13825702072.5
FUTCURUSDINR29-MAR-2017,68.815,68.82,69.0025,68.8,68.965,68.965,.21,122783,13373,13373,921843910
FUTCURUSDINR26-APR-2017,69.0975,69.15,69.28,69.1,69.245,69.245,.21,50483,8527,8527,590272447.5
FUTCURUSDINR29-MAY-2017,69.29,69.35,69.4675,69.32,69.43,69.43,.2,19587,2551,2551,177003887.5
FUTCURUSDINR28-JUN-2017,69.49,69.55,69.6675,69.51,69.6025,69.6025,.16,11519,2479,2479,172546452.5
FUTCURUSDINR27-JUL-2017,69.9825,69.74,69.8525,69.7025,69.755,69.755,-.32,2514,93,93,6487990
FUTCURUSDINR29-AUG-2017,70.1775,69.9975,70,69.9025,69.9025,70.3225,.2,2813,12,12,839022.5
FUTCURUSDINR27-SEP-2017,70.4325,70,70,70,70,70.5775,.2,3844,1,1,70000
FUTCURUSDINR27-OCT-2017,70.205,70.4,70.4,70.35,70.39,70.39,.26,16166,36,36,2534225
FUTCURUSDINR28-NOV-2017,70.98,70.5,70.65,70.5,70.62,70.62,-.5,3793,93,93,6565992.5
FUTCURUSDINR27-DEC-2017,70.6925,70.75,70.85,70.6575,70.8075,70.8075,.16,3556,562,562,39783447.5
