CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTCUREURINR27-JAN-2017,71.5375,71.88,72.2675,71.88,72.2,72.2,.92,37421,63391,63391,4570677097.5
FUTCUREURINR23-FEB-2017,71.8275,72.2,72.595,72.1725,72.52,72.52,.96,13463,16776,16776,1214931455
FUTCUREURINR29-MAR-2017,72.1,72.4,72.82,72.4,72.7475,72.7475,.89,1334,1008,1008,73222550
FUTCUREURINR26-APR-2017,72.63,72.9975,73.04,72.9,73,73,.5,112,105,105,7662937.5
FUTCUREURINR29-MAY-2017,73.0525,0,0,0,,73.7475,.95,2,0,0,0
FUTCUREURINR28-JUN-2017,73.415,0,0,0,,74.12,.96,0,0,0,0
FUTCUREURINR27-JUL-2017,73.765,0,0,0,,74.48,.96,1,0,0,0
FUTCUREURINR29-AUG-2017,74.235,0,0,0,,74.945,.95,0,0,0,0
FUTCUREURINR27-SEP-2017,74.5975,0,0,0,,75.3175,.96,0,0,0,0
FUTCUREURINR27-OCT-2017,74.9775,0,0,0,,75.7025,.96,0,0,0,0
FUTCUREURINR28-NOV-2017,75.3825,0,0,0,,76.1175,.97,0,0,0,0
FUTCUREURINR27-DEC-2017,75.75,0,0,0,,76.4925,.98,0,0,0,0
FUTCURGBPINR27-JAN-2017,83.8825,84.15,84.49,84.13,84.305,84.305,.5,24727,44300,44300,3734782955
FUTCURGBPINR23-FEB-2017,84.23,84.5,84.83,84.405,84.66,84.66,.51,3529,2476,2476,209607610
FUTCURGBPINR29-MAR-2017,84.625,84.9,85.1,84.61,85,85.0775,.53,289,137,137,11641260
FUTCURGBPINR26-APR-2017,84.9625,85.1,85.36,85.1,85.36,85.43,.55,98,26,26,2214357.5
FUTCURGBPINR29-MAY-2017,85.3825,85.5,85.6,85.5,85.6,85.8375,.53,80,2,2,171100
FUTCURGBPINR28-JUN-2017,85.75,0,0,0,,86.215,.54,0,0,0,0
FUTCURGBPINR27-JUL-2017,86.1075,0,0,0,,86.5825,.55,0,0,0,0
FUTCURGBPINR29-AUG-2017,86.54,0,0,0,,87.005,.53,0,0,0,0
FUTCURGBPINR27-SEP-2017,86.9025,0,0,0,,87.3775,.54,5,0,0,0
FUTCURGBPINR27-OCT-2017,87.2825,0,0,0,,87.7625,.54,0,0,0,0
FUTCURGBPINR28-NOV-2017,87.6875,0,0,0,,88.175,.55,0,0,0,0
FUTCURGBPINR27-DEC-2017,88.055,0,0,0,,88.55,.56,0,0,0,0
FUTCURJPYINR27-JAN-2017,58.4675,58.7675,58.88,58.61,58.8175,58.8175,.59,27830,25189,25189,1479695840
FUTCURJPYINR23-FEB-2017,58.7175,58.9675,59.135,58.87,59.08,59.08,.61,5245,1023,1023,60382572.5
FUTCURJPYINR29-MAR-2017,59,59,59.35,59,59.35,59.3825,.64,82,30,30,1771750
FUTCURJPYINR26-APR-2017,59.3175,0,0,0,,59.645,.55,0,0,0,0
FUTCURJPYINR29-MAY-2017,59.66,0,0,0,,59.98,.53,0,0,0,0
FUTCURJPYINR28-JUN-2017,59.9425,0,0,0,,60.27,.54,0,0,0,0
FUTCURJPYINR27-JUL-2017,60.2175,0,0,0,,60.5525,.55,0,0,0,0
FUTCURJPYINR29-AUG-2017,60.6,0,0,0,,60.9275,.54,0,0,0,0
FUTCURJPYINR27-SEP-2017,60.885,0,0,0,,61.22,.55,0,0,0,0
FUTCURJPYINR27-OCT-2017,61.1825,0,0,0,,61.5225,.55,0,0,0,0
FUTCURJPYINR28-NOV-2017,61.5025,0,0,0,,61.8475,.56,0,0,0,0
FUTCURJPYINR27-DEC-2017,61.7925,0,0,0,,62.1425,.56,0,0,0,0
FUTCURUSDINR27-JAN-2017,68.115,67.9975,68.195,67.93,68.1125,68.1125,0,1761483,867595,867595,59063174145
FUTCURUSDINR23-FEB-2017,68.34,68.2025,68.415,68.155,68.3325,68.3325,-.01,301421,100276,100276,6847981805
FUTCURUSDINR29-MAR-2017,68.58,68.85,68.85,68.4075,68.5875,68.5875,.01,97560,15877,15877,1088823375
FUTCURUSDINR26-APR-2017,68.835,68.69,68.93,68.6675,68.87,68.87,.05,41834,13172,13172,906721867.5
FUTCURUSDINR29-MAY-2017,69.04,68.89,69.11,68.87,69.09,69.1925,.22,17201,127,127,8767257.5
FUTCURUSDINR28-JUN-2017,69.225,69.0525,69.335,69.0525,69.295,69.45,.32,6979,1438,1438,99612942.5
FUTCURUSDINR27-JUL-2017,69.6675,69.4,69.4,69.4,69.4,69.7025,.05,2248,2,2,138800
FUTCURUSDINR29-AUG-2017,69.91,0,0,0,,69.9375,.03,2801,0,0,0
FUTCURUSDINR27-SEP-2017,70.1525,0,0,0,,70.185,.04,3843,0,0,0
FUTCURUSDINR27-OCT-2017,70.1,70.125,70.125,70.0625,70.0675,70.0675,-.04,16214,13,13,910975
FUTCURUSDINR28-NOV-2017,70.295,70.18,70.27,70.1625,70.27,70.27,-.03,3696,4,4,280775
FUTCURUSDINR27-DEC-2017,70.5,70.505,70.505,70.505,70.505,70.965,.65,2065,1,1,70505
