CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR23-FEB-2017CE64.25,4.4375,0,0,0,,4.1825,.255,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.5,4.19,0,0,0,,3.935,.255,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.75,3.85,0,0,0,,3.685,.165,20,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65,3.6925,0,0,0,,3.4375,.255,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.25,3.445,0,0,0,,3.19,.255,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.5,3.1975,0,0,0,,2.9425,.255,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.75,2.95,0,0,0,,2.6975,.2525,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66,2.705,0,0,0,,2.455,.25,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.25,2.46,0,0,0,,2.2125,.2475,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.5,2.22,0,0,0,,1.9775,.2425,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.75,1.9825,0,0,0,,1.7475,.235,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67,1.75,1.5,1.51,1.37,1.37,1.37,.38,86,23,23,,1573640,32640
OPTCURUSDINR23-FEB-2017CE67.25,1.53,0,0,0,,1.3125,.2175,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67.5,1.295,1,1.06,1,1.03,1.03,.265,3552,620,620,,42494000,644000
OPTCURUSDINR23-FEB-2017CE67.75,1.1175,0,0,0,,.9275,.19,1,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE68,.8925,.715,.7175,.6225,.6975,.6975,.195,23141,3148,3148,,216210820,2146820
OPTCURUSDINR23-FEB-2017CE68.25,.735,.5525,.5525,.4625,.55,.55,.185,740,364,364,,25037790,194790
