CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR23-FEB-2017CE64.25,4.4475,0,0,0,,4.1625,.285,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.5,4.2,0,0,0,,3.915,.285,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.75,3.9525,0,0,0,,3.6675,.285,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65,3.7025,0,0,0,,3.42,.2825,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.25,3.4575,0,0,0,,3.1725,.285,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.5,3.21,0,0,0,,2.93,.28,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.75,2.965,0,0,0,,2.6875,.2775,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66,2.7225,0,0,0,,2.45,.2725,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.25,2.485,0,0,0,,2.215,.27,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.5,2.2475,0,0,0,,1.9875,.26,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.75,2.0175,0,0,0,,1.765,.2525,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67,1.795,1.61,1.61,1.61,1.61,1.61,.185,11,11,11,,754710,17710
OPTCURUSDINR23-FEB-2017CE67.25,1.58,0,0,0,,1.3525,.2275,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67.5,1.2875,1.185,1.1925,1.095,1.095,1.095,.1925,281,27,27,,1852992.5,30492.5
OPTCURUSDINR23-FEB-2017CE67.75,1.1875,0,0,0,,.9875,.2,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE68,.9125,.8375,.85,.7225,.7275,.7275,.185,18180,8408,8408,,578223290,6479290
OPTCURUSDINR23-FEB-2017CE68.25,.7475,0,0,0,,.685,.0625,441,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE68.5,.6225,.5625,.565,.48,.485,.485,.1375,18289,19928,19928,,1375450147.5,10382147.5
OPTCURUSDINR23-FEB-2017CE68.75,.445,0,0,0,,.445,0,2,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE69,.415,.375,.3775,.3075,.315,.315,.1,167839,8426,8426,,584202275,2808275
OPTCURUSDINR23-FEB-2017CE69.25,.2625,0,0,0,,.2725,.01,56,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE69.5,.26,.235,.24,.19,.2075,.2075,.0525,62341,2602,2602,,181400255,561255
OPTCURUSDINR23-FEB-2017CE69.75,.2125,0,0,0,,.1575,.055,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70,.17,.1475,.15,.125,.13,.13,.04,27716,23420,23420,,1642525767.5,3125767.5
OPTCURUSDINR23-FEB-2017CE70.25,.1175,0,0,0,,.0825,.035,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70.5,.085,0,0,0,,.06,.025,104,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70.75,.06,.0925,.0925,.0925,.0925,.0925,.0325,0,8950,8950,,634040375,827875
OPTCURUSDINR23-FEB-2017CE71,.06,.06,.06,.035,.0375,.0375,.0225,3087,4,4,,284192.5,192.5
OPTCURUSDINR23-FEB-2017CE71.25,.0275,0,0,0,,.02,.0075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71.5,.02,0,0,0,,.0125,.0075,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71.75,.0125,0,0,0,,.01,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.25,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.5,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.75,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65,.0025,0,0,0,,.005,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.25,.005,0,0,0,,.0075,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.5,.0075,0,0,0,,.0125,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.75,.01,0,0,0,,.02,.01,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66,.0175,0,0,0,,.03,.0125,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66.25,.0275,0,0,0,,.045,.0175,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66.5,.04,0,0,0,,.065,.025,500,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66.75,.0575,0,0,0,,.0925,.035,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE67,.045,.05,.05,.04,.0475,.0475,.0025,1420,462,462,,30975492.5,21492.5
OPTCURUSDINR23-FEB-2017PE67.25,.1175,0,0,0,,.175,.0575,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE67.5,.1,.1175,.1475,.105,.14,.14,.04,13063,4409,4409,,298153682.5,546182.5
OPTCURUSDINR23-FEB-2017PE67.75,.2225,0,0,0,,.3075,.085,40,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE68,.215,.2375,.2925,.2275,.2925,.2925,.0775,43249,9527,9527,,650383787.5,2547787.5
OPTCURUSDINR23-FEB-2017PE68.25,.295,.34,.365,.34,.365,.365,.07,143,91,91,,6243940,33190
OPTCURUSDINR23-FEB-2017PE68.5,.42,.4425,.54,.4425,.54,.54,.12,9068,9586,9586,,661404212.5,4763212.5
OPTCURUSDINR23-FEB-2017PE68.75,.595,0,0,0,,.76,.165,1,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE69,.715,.77,.8725,.7575,.86,.86,.145,47465,2340,2340,,163385012.5,1925012.5
OPTCURUSDINR23-FEB-2017PE69.25,.885,0,0,0,,1.085,.2,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE69.5,1.0525,0,0,0,,1.27,.2175,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE69.75,1.235,0,0,0,,1.465,.23,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70,1.43,0,0,0,,1.6725,.2425,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.25,1.6375,0,0,0,,1.89,.2525,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.5,1.8525,0,0,0,,2.115,.2625,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.75,2.0775,0,0,0,,2.345,.2675,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71,2.3075,0,0,0,,2.58,.2725,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.25,2.5425,0,0,0,,2.82,.2775,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.5,2.7825,0,0,0,,3.0625,.28,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.75,3.025,0,0,0,,3.3075,.2825,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE63.5,4.9925,0,0,0,,4.7075,.285,293,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE63.75,4.7425,0,0,0,,4.4575,.285,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE64,4.46,4.2,4.2,4.2,4.2,4.2,.26,5236,1,1,,68200,4200
