CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR23-FEB-2017CE64.25,4.295,0,0,0,,4.4375,.1425,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.5,4.0475,0,0,0,,4.19,.1425,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE64.75,3.8,3.85,3.85,3.85,3.85,3.85,.05,20,20,20,,1372000,77000
OPTCURUSDINR23-FEB-2017CE65,3.55,0,0,0,,3.6925,.1425,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.25,3.3025,0,0,0,,3.445,.1425,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.5,3.055,0,0,0,,3.1975,.1425,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE65.75,2.81,0,0,0,,2.95,.14,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66,2.565,0,0,0,,2.705,.14,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.25,2.325,0,0,0,,2.46,.135,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.5,2.0875,0,0,0,,2.22,.1325,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE66.75,1.855,0,0,0,,1.9825,.1275,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67,1.63,1.66,1.75,1.66,1.75,1.75,.12,70,27,27,,1854190,45190
OPTCURUSDINR23-FEB-2017CE67.25,1.4125,0,0,0,,1.53,.1175,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE67.5,1.15,1.22,1.3,1.1825,1.295,1.295,.145,3012,258,258,,17734035,319035
OPTCURUSDINR23-FEB-2017CE67.75,1.0175,0,0,0,,1.1175,.1,1,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE68,.795,.815,.9225,.775,.8925,.8925,.0975,23259,1523,1523,,104900807.5,1336807.5
OPTCURUSDINR23-FEB-2017CE68.25,.6575,.7,.75,.7,.735,.735,.0775,720,238,238,,16419410,175910
OPTCURUSDINR23-FEB-2017CE68.5,.52,.5425,.6175,.49,.5875,.5875,.0675,21429,7064,7064,,487960985,4076985
OPTCURUSDINR23-FEB-2017CE68.75,.43,.48,.48,.4775,.48,.48,.05,225,75,75,,5192247.5,35997.5
OPTCURUSDINR23-FEB-2017CE69,.3225,.3425,.3875,.2925,.36,.36,.0375,258573,58542,58542,,4058734370,19336370
OPTCURUSDINR23-FEB-2017CE69.25,.2475,.2475,.2675,.2475,.2675,.2675,.02,15082,6519,6519,,453054702.5,1613952.5
OPTCURUSDINR23-FEB-2017CE69.5,.19,.2025,.23,.1675,.2125,.2125,.0225,119370,15117,15117,,1053644602.5,3013102.5
OPTCURUSDINR23-FEB-2017CE69.75,.13,0,0,0,,.15,.02,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70,.1175,.115,.135,.1,.13,.13,.0125,34088,12693,12693,,890055752.5,1545752.5
OPTCURUSDINR23-FEB-2017CE70.25,.0625,.03,.03,.03,.03,.03,.0325,25,25,25,,1757000,750
OPTCURUSDINR23-FEB-2017CE70.5,.0375,0,0,0,,.0475,.01,8742,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE70.75,.0275,0,0,0,,.0325,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71,.04,.04,.04,.04,.04,.04,0,3134,10,10,,710400,400
OPTCURUSDINR23-FEB-2017CE71.25,.0125,0,0,0,,.0125,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71.5,.0075,0,0,0,,.0075,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017CE71.75,.005,0,0,0,,.005,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.25,.0025,0,0,0,,0,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.5,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE64.75,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.25,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.5,.005,0,0,0,,.0025,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE65.75,.0075,0,0,0,,.005,.0025,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66,.0125,0,0,0,,.0075,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66.25,.0175,0,0,0,,.0125,.005,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE66.5,.0175,.005,.005,.005,.005,.005,.0125,9260,8756,8756,,582317780,43780
OPTCURUSDINR23-FEB-2017PE66.75,.045,0,0,0,,.0325,.0125,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE67,.05,.035,.0375,.03,.0325,.0325,.0175,3677,1590,1590,,106581737.5,51737.5
OPTCURUSDINR23-FEB-2017PE67.25,.1025,0,0,0,,.075,.0275,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE67.5,.11,.1,.1,.08,.085,.085,.025,39516,13342,13342,,901796370,1211370
OPTCURUSDINR23-FEB-2017PE67.75,.205,.1325,.1325,.105,.105,.105,.1,162,92,92,,6245052.5,12052.5
OPTCURUSDINR23-FEB-2017PE68,.2425,.215,.225,.18,.185,.185,.0575,92126,22579,22579,,1539895322.5,4523322.5
OPTCURUSDINR23-FEB-2017PE68.25,.35,.3,.3,.26,.265,.265,.085,596,411,411,,28165072.5,114322.5
OPTCURUSDINR23-FEB-2017PE68.5,.46,.4225,.4325,.3625,.3725,.3725,.0875,17948,9328,9328,,642600107.5,3632107.5
OPTCURUSDINR23-FEB-2017PE68.75,.605,0,0,0,,.5225,.0825,50,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE69,.76,.7075,.745,.6375,.6475,.6475,.1125,53207,4517,4517,,314829917.5,3156917.5
OPTCURUSDINR23-FEB-2017PE69.25,.925,0,0,0,,.815,.11,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE69.5,1.1075,0,0,0,,.99,.1175,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE69.75,1.305,0,0,0,,1.1825,.1225,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70,1.515,0,0,0,,1.385,.13,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.25,1.735,0,0,0,,1.6,.135,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.5,1.9625,0,0,0,,1.825,.1375,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE70.75,2.195,0,0,0,,2.0575,.1375,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71,2.435,0,0,0,,2.295,.14,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.25,2.6775,0,0,0,,2.535,.1425,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.5,2.9225,0,0,0,,2.78,.1425,0,0,0,,0,0
OPTCURUSDINR23-FEB-2017PE71.75,3.1675,0,0,0,,3.025,.1425,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE63.5,4.82,0,0,0,,4.96,.14,293,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE63.75,4.57,0,0,0,,4.71,.14,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE64,4.3225,4.33,4.465,4.33,4.45,4.45,.1275,5251,313,313,,21403800,1371800
OPTCURUSDINR27-JAN-2017CE64.25,4.0725,0,0,0,,4.2125,.14,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE64.5,3.8225,0,0,0,,3.9625,.14,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE64.75,3.5725,0,0,0,,3.7125,.14,134,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE65,3.325,0,0,0,,3.4625,.1375,4779,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE65.25,3.075,0,0,0,,3.215,.14,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE65.5,2.825,0,0,0,,2.965,.14,2259,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE65.75,2.575,0,0,0,,2.715,.14,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE66,2.3275,2.3775,2.3775,2.375,2.375,2.375,.0475,3751,4,4,,273505,9505
OPTCURUSDINR27-JAN-2017CE66.25,2.0775,0,0,0,,2.2175,.14,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE66.5,1.8,1.84,1.985,1.84,1.93,1.93,.13,5198,55,55,,3764662.5,107162.5
OPTCURUSDINR27-JAN-2017CE66.75,1.585,0,0,0,,1.72,.135,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE67,1.335,1.38,1.5,1.32,1.47,1.47,.135,33366,1946,1946,,133168887.5,2786887.5
OPTCURUSDINR27-JAN-2017CE67.25,1.11,0,0,0,,1.235,.125,185,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE67.5,.86,.9125,1.03,.8475,.9875,.9875,.1275,149329,31662,31662,,2169027262.5,31842262.5
OPTCURUSDINR27-JAN-2017CE67.75,.6575,.72,.805,.64,.7625,.7625,.105,9734,4552,4552,,311803360,3405360
OPTCURUSDINR27-JAN-2017CE68,.4675,.495,.6125,.4575,.57,.57,.1025,202123,76599,76599,,5251765717.5,43033717.5
OPTCURUSDINR27-JAN-2017CE68.25,.3275,.3525,.45,.3175,.4075,.4075,.08,54279,54478,54478,,3739818927.5,21695427.5
OPTCURUSDINR27-JAN-2017CE68.5,.225,.2475,.3275,.2125,.28,.28,.055,335412,273544,273544,,18814821357.5,77057357.5
OPTCURUSDINR27-JAN-2017CE68.75,.145,.155,.2225,.1375,.185,.185,.04,41287,35795,35795,,2467525400,6619150
OPTCURUSDINR27-JAN-2017CE69,.0925,.1,.15,.09,.12,.12,.0275,372450,187776,187776,,12979050397.5,22506397.5
OPTCURUSDINR27-JAN-2017CE69.25,.0575,.065,.095,.055,.075,.075,.0175,23076,14124,14124,,979079880,992880
OPTCURUSDINR27-JAN-2017CE69.5,.035,.0375,.0625,.0325,.0475,.0475,.0125,87459,64070,64070,,4455750322.5,2885322.5
OPTCURUSDINR27-JAN-2017CE69.75,.02,.0175,.0375,.0175,.03,.03,.01,5110,9384,9384,,654825955,291955
OPTCURUSDINR27-JAN-2017CE70,.0125,.0125,.0225,.01,.0175,.0175,.005,41276,18724,18724,,1310980462.5,300462.5
OPTCURUSDINR27-JAN-2017CE70.25,.0025,0,0,0,,.005,.0025,569,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE70.5,.01,.0075,.01,.0075,.01,.01,0,27265,2227,2227,,157025517.5,22017.5
OPTCURUSDINR27-JAN-2017CE70.75,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE71,.0025,.005,.005,.005,.005,.005,.0025,27070,451,451,,32023255,2255
OPTCURUSDINR27-JAN-2017CE71.25,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE71.5,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017CE71.75,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE63.5,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE63.75,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE64,0,.0025,.0025,.0025,.0025,.0025,.0025,2411,204,204,,13056510,510
OPTCURUSDINR27-JAN-2017PE64.25,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE64.5,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE64.75,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE65,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE65.25,0,0,0,0,,0,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE65.5,0,0,0,0,,0,0,502,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE65.75,.0025,0,0,0,,0,.0025,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE66,.0025,.005,.005,.005,.005,.005,.0025,10399,1,1,,66005,5
OPTCURUSDINR27-JAN-2017PE66.25,.0025,0,0,0,,.0025,0,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE66.5,.005,.0025,.005,.0025,.0025,.0025,.0025,8077,738,738,,49078912.5,1912.5
OPTCURUSDINR27-JAN-2017PE66.75,.0125,0,0,0,,.005,.0075,1,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE67,.0125,.01,.01,.0075,.0075,.0075,.005,55893,6201,6201,,415519697.5,52697.5
OPTCURUSDINR27-JAN-2017PE67.25,.02,.015,.0175,.01,.015,.015,.005,36428,3147,3147,,211681272.5,45522.5
OPTCURUSDINR27-JAN-2017PE67.5,.04,.03,.0375,.025,.0275,.0275,.0125,234678,161744,161744,,10922576830,4856830
OPTCURUSDINR27-JAN-2017PE67.75,.0725,.06,.075,.0475,.0525,.0525,.02,66852,70160,70160,,4757386227.5,4046227.5
OPTCURUSDINR27-JAN-2017PE68,.1425,.1175,.1475,.095,.1075,.1075,.035,235839,186809,186809,,12724924617.5,21912617.5
OPTCURUSDINR27-JAN-2017PE68.25,.25,.22,.2575,.1775,.195,.195,.055,58233,83365,83365,,5707086572.5,17425322.5
OPTCURUSDINR27-JAN-2017PE68.5,.395,.365,.4,.3,.315,.315,.08,166070,119621,119621,,8233994202.5,39955702.5
OPTCURUSDINR27-JAN-2017PE68.75,.5675,.515,.5575,.45,.4725,.4725,.095,7628,4210,4210,,291506017.5,2068517.5
OPTCURUSDINR27-JAN-2017PE69,.755,.7075,.7725,.63,.655,.655,.1,149726,34787,34787,,2423117897.5,22814897.5
OPTCURUSDINR27-JAN-2017PE69.25,.97,.8925,.8925,.86,.8725,.8725,.0975,403,1203,1203,,84357387.5,1049637.5
OPTCURUSDINR27-JAN-2017PE69.5,1.245,1.1,1.1,1.0675,1.08,1.08,.165,2095,51,51,,3599600,55100
OPTCURUSDINR27-JAN-2017PE69.75,1.43,0,0,0,,1.295,.135,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE70,1.7,0,0,0,,1.535,.165,160,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE70.25,1.92,0,0,0,,1.78,.14,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE70.5,2.1675,0,0,0,,2.0275,.14,3,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE70.75,2.415,0,0,0,,2.2775,.1375,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE71,2.665,0,0,0,,2.525,.14,176,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE71.25,2.915,0,0,0,,2.775,.14,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE71.5,3.165,0,0,0,,3.025,.14,0,0,0,,0,0
OPTCURUSDINR27-JAN-2017PE71.75,3.4125,0,0,0,,3.275,.1375,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE65,4.64,0,0,0,,4.775,.135,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE65.25,4.405,0,0,0,,4.535,.13,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE65.5,4.17,0,0,0,,4.3,.13,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE65.75,3.9375,0,0,0,,4.0675,.13,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE66,3.71,0,0,0,,3.835,.125,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE66.25,3.485,0,0,0,,3.6075,.1225,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE66.5,3.2625,0,0,0,,3.385,.1225,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE66.75,3.0475,0,0,0,,3.1625,.115,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE67,2.835,0,0,0,,2.9475,.1125,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE67.25,2.63,0,0,0,,2.7375,.1075,0,0,0,,0,0
OPTCURUSDINR28-JUN-2017CE67.5,2.43,0,0,0,,2.535,.105,0,0,0,,0,0
