CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTCUREURINR27-JAN-2017,71.275,71.2925,71.4425,71.2,71.3475,71.3475,.1,38730,34616,34616,2469106577.5
FUTCUREURINR23-FEB-2017,71.585,71.6,71.73,71.51,71.64,71.64,.07,4726,1122,1122,80378292.5
FUTCUREURINR29-MAR-2017,71.8975,71.87,71.975,71.8,71.975,72,.14,485,56,56,4029640
FUTCUREURINR26-APR-2017,72.125,72.28,72.28,72.28,72.28,72.3275,.28,54,1,1,72280
FUTCUREURINR29-MAY-2017,72.6675,0,0,0,,72.74,.09,2,0,0,0
FUTCUREURINR28-JUN-2017,73.0275,0,0,0,,73.0975,.09,0,0,0,0
FUTCUREURINR27-JUL-2017,73.375,0,0,0,,73.4475,.09,1,0,0,0
FUTCUREURINR29-AUG-2017,73.8725,0,0,0,,73.9375,.08,0,0,0,0
FUTCUREURINR27-SEP-2017,74.2375,0,0,0,,74.3,.08,0,0,0,0
FUTCUREURINR27-OCT-2017,74.615,0,0,0,,74.68,.08,0,0,0,0
FUTCUREURINR28-NOV-2017,75.0225,0,0,0,,75.085,.08,0,0,0,0
FUTCUREURINR27-DEC-2017,75.3925,0,0,0,,75.455,.08,0,0,0,0
FUTCURGBPINR27-JAN-2017,84.17,83.9,83.9475,83.6825,83.755,83.755,-.49,27235,35189,35189,2949437780
FUTCURGBPINR23-FEB-2017,84.525,84.195,84.3,84.06,84.12,84.12,-.47,2495,874,874,73552652.5
FUTCURGBPINR29-MAR-2017,84.7125,84.4025,84.595,84.4,84.4125,84.4125,-.35,178,24,24,2027872.5
FUTCURGBPINR26-APR-2017,85.205,0,0,0,,84.7675,-.51,76,0,0,0
FUTCURGBPINR29-MAY-2017,85.6225,0,0,0,,85.175,-.52,78,0,0,0
FUTCURGBPINR28-JUN-2017,85.99,0,0,0,,85.5425,-.52,0,0,0,0
FUTCURGBPINR27-JUL-2017,86.35,0,0,0,,85.8975,-.52,0,0,0,0
FUTCURGBPINR29-AUG-2017,86.81,0,0,0,,86.355,-.52,0,0,0,0
FUTCURGBPINR27-SEP-2017,87.18,0,0,0,,86.72,-.52,5,0,0,0
FUTCURGBPINR27-OCT-2017,87.5625,0,0,0,,87.0975,-.53,0,0,0,0
FUTCURGBPINR28-NOV-2017,87.9725,0,0,0,,87.505,-.53,0,0,0,0
FUTCURGBPINR27-DEC-2017,88.345,0,0,0,,87.875,-.53,0,0,0,0
FUTCURJPYINR27-JAN-2017,58,58.0725,58.2475,57.95,58.2,58.2,.34,33687,26469,26469,1538011190
FUTCURJPYINR23-FEB-2017,58.235,58.305,58.49,58.24,58.46,58.46,.38,4723,807,807,47133085
FUTCURJPYINR29-MAR-2017,58.5075,58.65,58.75,58.65,58.75,58.6525,.24,29,12,12,704400
FUTCURJPYINR26-APR-2017,58.76,0,0,0,,58.905,.24,0,0,0,0
FUTCURJPYINR29-MAY-2017,59.095,0,0,0,,59.24,.24,0,0,0,0
FUTCURJPYINR28-JUN-2017,59.375,0,0,0,,59.52,.24,0,0,0,0
FUTCURJPYINR27-JUL-2017,59.6475,0,0,0,,59.7925,.24,0,0,0,0
FUTCURJPYINR29-AUG-2017,60.045,0,0,0,,60.1875,.23,0,0,0,0
FUTCURJPYINR27-SEP-2017,60.33,0,0,0,,60.475,.24,0,0,0,0
FUTCURJPYINR27-OCT-2017,60.6275,0,0,0,,60.77,.23,0,0,0,0
FUTCURJPYINR28-NOV-2017,60.9475,0,0,0,,61.09,.23,0,0,0,0
FUTCURJPYINR27-DEC-2017,61.2375,0,0,0,,61.38,.23,0,0,0,0
FUTCURUSDINR27-JAN-2017,68.485,68.43,68.43,68.2025,68.225,68.225,-.37,1626466,899100,899100,61417411245
FUTCURUSDINR23-FEB-2017,68.7025,68.6425,68.6425,68.43,68.45,68.45,-.36,215980,58581,58581,4014938042.5
FUTCURUSDINR29-MAR-2017,68.9325,68.875,68.8775,68.665,68.6775,68.6775,-.36,81846,11438,11438,786456180
FUTCURUSDINR26-APR-2017,69.1775,69.1,69.1,68.915,68.935,68.935,-.35,39020,7619,7619,525681260
FUTCURUSDINR29-MAY-2017,69.365,69.26,69.26,69.0925,69.125,69.125,-.34,17106,928,928,64169357.5
FUTCURUSDINR28-JUN-2017,69.5475,69.3825,69.4,69.3,69.305,69.305,-.34,5849,531,531,36816210
FUTCURUSDINR27-JUL-2017,70.06,69.6,69.6,69.53,69.53,69.53,-.75,2251,26,26,1807850
FUTCURUSDINR29-AUG-2017,70.33,0,0,0,,70.0225,-.43,2800,0,0,0
FUTCURUSDINR27-SEP-2017,70.18,70.0475,70.0475,69.95,69.9675,69.9675,-.3,3862,163,163,11404882.5
FUTCURUSDINR27-OCT-2017,70.3875,70.25,70.27,70.19,70.2075,70.2075,-.25,16846,551,551,38693912.5
FUTCURUSDINR28-NOV-2017,70.5825,70.46,70.5,70.3625,70.375,70.375,-.29,3819,32,32,2254122.5
FUTCURUSDINR27-DEC-2017,70.7925,70.68,70.68,70.5425,70.575,70.575,-.3,2331,232,232,16383212.5
