The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,SBIN      ,25/01/2017,    15006094500.00,            20367
2         ,MARUTI    ,25/01/2017,    11306364795.00,            13948
3         ,TATASTEEL ,25/01/2017,     9513100600.00,            11863
4         ,LICHSGFIN ,25/01/2017,     6646808135.00,            11285
5         ,ICICIBANK ,25/01/2017,     6462933000.00,            10242
6         ,DLF       ,25/01/2017,     5968149000.00,            10145
7         ,HDFCBANK  ,25/01/2017,     5932751350.00,             9870
8         ,TATAMOTORS,25/01/2017,     7132599225.00,             9868
9         ,VEDL      ,25/01/2017,     7244759200.00,             9429
10        ,HDFC      ,25/01/2017,     5740120025.00,             9326
The top ten contracts contributed to around  28% of the total traded volume in Futures on individual securities.SBIN was the most active future contracts on individual securities traded today with 20905 contracts and MARUTI was the next most active futures contracts with 14097 contracts being traded.                                                                                                                                                                                                       
