Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            53445,          2137800,           3931.61,000000002075840
DJIA      ,              105,             3150,              6.25,000000000037170
NIFTY     ,            83699,          6277425,           5202.71,000000020343300
NIFTYCPSE ,              017,             4250,              1.03,000000000009750
NIFTYIT   ,              264,            13200,             13.50,000000000043450
S&P500    ,              244,            61000,             13.83,000000000372000
