The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,YESBANK   ,25/01/2017,    13958377580.00,            16057
2         ,INFY      ,25/01/2017,     7225768450.00,            14771
3         ,WOCKPHARMA,25/01/2017,     6138035220.00,            14263
4         ,SBIN      ,25/01/2017,    10516736250.00,            14138
5         ,VEDL      ,25/01/2017,    10861831225.00,            13501
6         ,HDFCBANK  ,25/01/2017,     7199038350.00,            12029
7         ,TATASTEEL ,25/01/2017,     9109164400.00,            10808
8         ,ICICIBANK ,25/01/2017,     6749165875.00,            10408
9         ,AXISBANK  ,25/01/2017,     5486953200.00,             9969
10        ,PNB       ,25/01/2017,     8032066000.00,             9586
The top ten contracts contributed to around  25% of the total traded volume in Futures on individual securities.YESBANK was the most active future contracts on individual securities traded today with 16285 contracts and INFY was the next most active futures contracts with 14988 contracts being traded.                                                                                                                                                                                                      
