Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          5507871,        220314840,         415972.01,000000024042200
NIFTY     ,          1590972,        119322900,          99992.58,000000122886375
NIFTYCPSE ,              089,            22250,              5.54,000000000026000
NIFTYIT   ,              008,              400,              0.40,000000000001300
