The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,AXISBANK  ,25/01/2017,     9546432780.00,            17801
2         ,HDFCBANK  ,25/01/2017,     8943868275.00,            14770
3         ,INFY      ,25/01/2017,     6945654450.00,            14203
4         ,INDUSINDBK,25/01/2017,     9424410810.00,            13524
5         ,TATASTEEL ,25/01/2017,    10251465300.00,            11938
6         ,TATAMOTORS,25/01/2017,     9078392400.00,            11805
7         ,VEDL      ,25/01/2017,     8305639825.00,            10204
8         ,ICICIBANK ,25/01/2017,     6443104000.00,             9893
9         ,HINDALCO  ,25/01/2017,     5336101575.00,             9316
10        ,SBIN      ,25/01/2017,     6461673600.00,             8686
The top ten contracts contributed to around  26% of the total traded volume in Futures on individual securities.AXISBANK was the most active future contracts on individual securities traded today with 18092 contracts and HDFCBANK was the next most active futures contracts with 14892 contracts being traded.                                                                                                                                                                                                 
