Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           137774,           9168.94
Stock Futures  ,           470929,          31054.69
Index Options  ,          2486600,         170535.90
Stock Options  ,           280959,          19203.52
Vol Futures    ,              000,              0.00
F&O Total      ,          3376262,         229963.05
