Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            92965,          3718600,           6705.47,000000002324440
DJIA      ,              074,             2220,              4.39,000000000034890
NIFTY     ,           116089,          8706675,           7125.55,000000017989575
NIFTYCPSE ,              016,             4000,              0.93,000000000011500
NIFTYIT   ,              127,             6350,              6.60,000000000030950
S&P500    ,              064,            16000,              3.58,000000000356500
