INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,DJIA      ,20/01/2017,00019897.50,00019965.00,00019860.00,00019872.50,000000000035880,       39975075.00,             2010,              067,              035
FUTIDX    ,DJIA      ,17/02/2017,00019800.00,00019800.00,00019800.00,00019800.00,000000000001650,       19602000.00,              990,              033,              011
FUTIDX    ,NIFTY     ,25/01/2017,00008403.20,00008424.00,00008386.05,00008418.00,000000020646300,    68249529787.50,          8119125,           108255,            64183
FUTIDX    ,NIFTY     ,23/02/2017,00008424.00,00008449.40,00008409.50,00008442.95,000000001446000,     4143537671.25,           491475,             6553,             5289
FUTIDX    ,NIFTY     ,30/03/2017,00008450.00,00008470.00,00008435.00,00008463.55,000000000379350,      459015277.50,            54300,              724,              561
FUTIDX    ,NIFTYCPSE ,25/01/2017,00002474.30,00002479.00,00002469.05,00002476.90,000000000018500,       50098787.50,            20250,              081,              049
FUTIDX    ,NIFTYCPSE ,23/02/2017,00002449.10,00002449.10,00002449.00,00002449.00,000000000000500,        1224525.00,              500,              002,              002
FUTIDX    ,NIFTYIT   ,25/01/2017,00010223.00,00010415.00,00010222.00,00010400.00,000000000041850,      243834150.00,            23550,              471,              372
FUTIDX    ,NIFTYIT   ,23/02/2017,00010434.00,00010434.00,00010300.00,00010300.00,000000000000050,        1036700.00,              100,              002,              002
FUTIDX    ,S&P500    ,20/01/2017,00002270.00,00002270.00,00002265.25,00002266.50,000000000370750,       40796750.00,            18000,              072,              034
FUTIDX    ,S&P500    ,17/02/2017,00002260.00,00002262.00,00002254.50,00002259.50,000000000005250,       10736312.50,             4750,              019,              012
FUTSTK    ,SAIL      ,25/01/2017,00000056.20,00000057.95,00000054.65,00000057.20,000000051828000,     3056045400.00,         54024000,             4502,             4181
FUTSTK    ,SAIL      ,23/02/2017,00000055.30,00000057.50,00000054.40,00000056.80,000000006084000,      134319600.00,          2388000,              199,              196
FUTSTK    ,SAIL      ,30/03/2017,00000056.80,00000056.80,00000056.80,00000056.80,000000000288000,         681600.00,            12000,              001,              001
FUTSTK    ,SBIN      ,25/01/2017,00000253.10,00000254.80,00000251.10,00000251.95,000000073725000,     9113973750.00,         36042000,            12014,            10949
FUTSTK    ,SBIN      ,23/02/2017,00000253.50,00000255.30,00000251.65,00000252.50,000000002529000,      299439150.00,          1182000,              394,              371
FUTSTK    ,SBIN      ,30/03/2017,00000257.80,00000257.80,00000253.00,00000253.00,000000000243000,       16752300.00,            66000,              022,              022
FUTSTK    ,SIEMENS   ,25/01/2017,00001177.00,00001191.90,00001165.00,00001183.25,000000000765000,      571362575.00,           484500,              969,              926
FUTSTK    ,SIEMENS   ,23/02/2017,00001174.10,00001176.85,00001174.10,00001181.45,000000000025500,        6470825.00,             5500,              011,              009
FUTSTK    ,SINTEX    ,25/01/2017,00000084.70,00000087.75,00000084.70,00000086.40,000000025115625,     1023509812.50,         11806125,             1657,             1610
FUTSTK    ,SINTEX    ,23/02/2017,00000086.35,00000087.70,00000086.20,00000086.90,000000000463125,       23517843.75,           270750,              038,              038
FUTSTK    ,SOUTHBANK ,25/01/2017,00000021.65,00000021.95,00000021.25,00000021.35,000000042060000,      274530000.00,         12780000,              426,              407
FUTSTK    ,SOUTHBANK ,23/02/2017,00000021.75,00000021.75,00000021.40,00000021.40,000000001020000,        5182500.00,           240000,              008,              008
FUTSTK    ,SRF       ,25/01/2017,00001658.00,00001664.80,00001617.35,00001636.30,000000000378000,     1270738650.00,           777500,             1555,             1451
FUTSTK    ,SRF       ,23/02/2017,00001641.60,00001663.65,00001622.00,00001622.25,000000000008500,        8993000.00,             5500,              011,              011
FUTSTK    ,SRTRANSFIN,25/01/2017,00000972.90,00000977.35,00000936.50,00000946.65,000000003574800,     1282541880.00,          1347600,             2246,             2022
FUTSTK    ,SRTRANSFIN,23/02/2017,00000976.05,00000976.05,00000943.55,00000943.55,000000000010800,       12621300.00,            13200,              022,              021
FUTSTK    ,STAR      ,25/01/2017,00001164.95,00001178.00,00001146.25,00001154.90,000000001507000,      811842400.00,           699000,             1398,             1311
FUTSTK    ,STAR      ,23/02/2017,00001162.00,00001163.00,00001162.00,00001162.00,000000000012000,        1743500.00,             1500,              003,              003
FUTSTK    ,SUNPHARMA ,25/01/2017,00000631.70,00000646.90,00000629.75,00000644.75,000000029821400,     4856153855.00,          7598500,            10855,             9605
FUTSTK    ,SUNPHARMA ,23/02/2017,00000636.40,00000649.60,00000631.50,00000647.35,000000000735000,      224013510.00,           349300,              499,              442
FUTSTK    ,SUNPHARMA ,30/03/2017,00000640.00,00000649.90,00000639.85,00000649.25,000000000019600,        9010155.00,            14000,              020,              018
FUTSTK    ,SUNTV     ,25/01/2017,00000539.90,00000543.40,00000526.65,00000540.95,000000009872000,     5038672400.00,          9398000,             4699,             4457
FUTSTK    ,SUNTV     ,23/02/2017,00000528.00,00000542.00,00000528.00,00000539.80,000000000100000,       43041900.00,            80000,              040,              039
FUTSTK    ,SYNDIBANK ,25/01/2017,00000065.75,00000066.10,00000064.15,00000065.05,000000015399000,      408346650.00,          6282000,              698,              637
FUTSTK    ,SYNDIBANK ,23/02/2017,00000066.40,00000066.40,00000064.75,00000065.30,000000000486000,        5284800.00,            81000,              009,              009
FUTSTK    ,SYNDIBANK ,30/03/2017,00000065.50,00000065.50,00000065.50,00000065.50,000000000045000,        2947500.00,            45000,              005,              005
FUTSTK    ,TATACHEM  ,25/01/2017,00000518.55,00000521.65,00000513.65,00000517.55,000000004906500,     1026928050.00,          1984500,             1323,             1278
FUTSTK    ,TATACHEM  ,23/02/2017,00000520.80,00000522.30,00000517.00,00000518.90,000000000039000,       15580875.00,            30000,              020,              019
FUTSTK    ,TATACOMM  ,25/01/2017,00000636.90,00000678.00,00000634.20,00000674.90,000000006314000,     6137619390.00,          9301600,             6644,             6276
FUTSTK    ,TATACOMM  ,23/02/2017,00000642.75,00000676.75,00000642.75,00000675.95,000000000016800,       13063680.00,            19600,              014,              014
FUTSTK    ,TATAELXSI ,25/01/2017,00001399.20,00001425.65,00001395.00,00001408.20,000000001201200,      686480520.00,           486800,             1217,             1160
FUTSTK    ,TATAELXSI ,23/02/2017,00001410.00,00001410.00,00001410.00,00001410.00,000000000006000,        1129300.00,              800,              002,              002
FUTSTK    ,TATAGLOBAL,25/01/2017,00000128.00,00000128.65,00000124.10,00000125.65,000000026473500,      789692850.00,          6264000,             1392,             1271
FUTSTK    ,TATAGLOBAL,23/02/2017,00000129.15,00000129.25,00000125.10,00000126.00,000000000504000,       48286575.00,           382500,              085,              074
FUTSTK    ,TATAMOTORS,25/01/2017,00000522.70,00000524.40,00000514.55,00000519.50,000000021090000,     5683506600.00,         10938000,             7292,             6730
FUTSTK    ,TATAMOTORS,23/02/2017,00000524.00,00000526.00,00000517.00,00000521.45,000000000489000,       82926225.00,           159000,              106,              104
