INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,25/01/2017,00008000.00,PE      ,00000025.25,00000029.95,00000021.25,00000028.10,000000006271200,          7725150,           103002,            32374,    62003090508.75,      201890508.75
OPTIDX    ,NIFTY     ,25/01/2017,00008050.00,CE      ,00000279.00,00000296.00,00000243.65,00000249.85,000000000068775,            14325,              191,              156,      119170578.75,        3854328.75
OPTIDX    ,NIFTY     ,25/01/2017,00008050.00,PE      ,00000032.20,00000037.05,00000026.30,00000034.55,000000000240825,           216450,             2886,             1429,     1749449715.00,        7027215.00
OPTIDX    ,NIFTY     ,25/01/2017,00008100.00,CE      ,00000243.00,00000258.00,00000200.25,00000207.25,000000002226525,           806775,            10757,             5677,     6718826032.50,      183948532.50
OPTIDX    ,NIFTY     ,25/01/2017,00008100.00,PE      ,00000043.90,00000047.30,00000033.25,00000044.40,000000004279575,          7743225,           103243,            41514,    63037599071.25,      317476571.25
OPTIDX    ,NIFTY     ,25/01/2017,00008150.00,CE      ,00000189.20,00000215.35,00000164.75,00000170.50,000000000135375,            38175,              509,              349,      318330397.50,        7204147.50
OPTIDX    ,NIFTY     ,25/01/2017,00008150.00,PE      ,00000047.95,00000059.35,00000041.90,00000056.40,000000000285000,           406650,             5422,             2558,     3335054407.50,       20856907.50
OPTIDX    ,NIFTY     ,25/01/2017,00008200.00,CE      ,00000156.00,00000177.50,00000129.05,00000134.55,000000003931650,          5812200,            77496,            33775,    48547288815.00,      887248815.00
OPTIDX    ,NIFTY     ,25/01/2017,00008200.00,PE      ,00000062.90,00000074.50,00000052.10,00000070.15,000000004594125,         12398250,           165310,            70623,   102463574872.50,      797924872.50
OPTIDX    ,NIFTY     ,25/01/2017,00008250.00,CE      ,00000135.00,00000142.15,00000099.25,00000104.05,000000000243225,           425175,             5669,             3257,     3558301616.25,       50607866.25
OPTIDX    ,NIFTY     ,25/01/2017,00008250.00,PE      ,00000084.95,00000092.85,00000066.40,00000088.55,000000000233400,           695100,             9268,             5084,     5791579312.50,       57004312.50
OPTIDX    ,NIFTY     ,25/01/2017,00008300.00,CE      ,00000092.00,00000110.85,00000074.20,00000078.50,000000004074225,         12777225,           170363,            73589,   107217992456.25,     1167024956.25
OPTIDX    ,NIFTY     ,25/01/2017,00008300.00,PE      ,00000097.00,00000116.50,00000082.85,00000110.70,000000002547750,          9213075,           122841,            55445,    77398326247.50,      929803747.50
OPTIDX    ,NIFTY     ,25/01/2017,00008350.00,CE      ,00000074.05,00000083.45,00000053.90,00000057.10,000000000375225,           865050,            11534,             5544,     7283587822.50,       60420322.50
OPTIDX    ,NIFTY     ,25/01/2017,00008350.00,PE      ,00000119.85,00000144.50,00000105.05,00000138.20,000000000067275,           117300,             1564,              906,      994084687.50,       14629687.50
OPTIDX    ,NIFTY     ,25/01/2017,00008400.00,CE      ,00000052.95,00000061.00,00000036.80,00000039.75,000000004817625,         10175400,           135672,            52438,    85969346520.00,      495986520.00
OPTIDX    ,NIFTY     ,25/01/2017,00008400.00,PE      ,00000145.10,00000177.90,00000130.15,00000168.75,000000001330500,          1759275,            23457,            12307,    15049641146.25,      271731146.25
OPTIDX    ,NIFTY     ,25/01/2017,00008450.00,CE      ,00000036.90,00000042.80,00000024.10,00000026.25,000000000307350,           538800,             7184,             2804,     4570597717.50,       17737717.50
OPTIDX    ,NIFTY     ,25/01/2017,00008450.00,PE      ,00000181.30,00000213.05,00000160.10,00000208.00,000000000014475,            17250,              230,              143,      148900695.00,        3138195.00
OPTIDX    ,NIFTY     ,25/01/2017,00008500.00,CE      ,00000025.90,00000029.00,00000015.60,00000017.50,000000003690300,         10469100,           139588,            44287,    89218195758.75,      230845758.75
OPTIDX    ,NIFTY     ,25/01/2017,00008500.00,PE      ,00000220.00,00000255.75,00000196.50,00000246.25,000000000781725,           383175,             5109,             2546,     3341682191.25,       84694691.25
OPTIDX    ,NIFTY     ,25/01/2017,00008550.00,CE      ,00000015.60,00000018.50,00000009.60,00000011.10,000000000153975,           252375,             3365,             1644,     2161439688.75,        3633438.75
OPTIDX    ,NIFTY     ,25/01/2017,00008550.00,PE      ,00000276.65,00000291.30,00000269.95,00000287.50,000000000000075,              825,              011,              009,        7282170.00,         228420.00
OPTIDX    ,NIFTY     ,25/01/2017,00008600.00,CE      ,00000006.90,00000011.65,00000006.30,00000007.20,000000002767350,          6538425,            87179,            27142,    56287948140.00,       57493140.00
OPTIDX    ,NIFTY     ,25/01/2017,00008600.00,PE      ,00000298.00,00000344.15,00000280.00,00000334.85,000000000522825,           129300,             1724,              815,     1152130151.25,       40150151.25
OPTIDX    ,NIFTY     ,25/01/2017,00008650.00,CE      ,00000006.35,00000007.85,00000004.20,00000004.85,000000000078300,           104175,             1389,              575,      901743232.50,         629482.50
OPTIDX    ,NIFTY     ,25/01/2017,00008700.00,CE      ,00000003.10,00000004.30,00000002.85,00000003.30,000000001591875,          2987775,            39837,             9149,    26004234243.75,       10591743.75
OPTIDX    ,NIFTY     ,25/01/2017,00008700.00,PE      ,00000390.00,00000438.00,00000371.35,00000432.50,000000000626475,            83700,             1116,              615,      761892450.00,       33702450.00
OPTIDX    ,NIFTY     ,25/01/2017,00008750.00,CE      ,00000002.80,00000003.85,00000001.75,00000001.95,000000000012000,            18225,              243,              163,      159511211.25,          42461.25
OPTIDX    ,NIFTY     ,25/01/2017,00008800.00,CE      ,00000001.55,00000002.10,00000001.40,00000001.70,000000001285125,           996225,            13283,             3691,     8768494406.25,        1714406.25
OPTIDX    ,NIFTY     ,25/01/2017,00008800.00,PE      ,00000489.00,00000535.20,00000470.00,00000526.25,000000000934875,            59700,              796,              377,      554766551.25,       29406551.25
OPTIDX    ,NIFTY     ,25/01/2017,00008850.00,CE      ,00000001.00,00000001.30,00000000.95,00000001.30,000000000008025,             9150,              122,              099,       80987377.50,           9877.50
OPTIDX    ,NIFTY     ,25/01/2017,00008900.00,CE      ,00000001.30,00000001.45,00000001.10,00000001.25,000000000885300,           558000,             7440,             2353,     4966899288.75,         699288.75
OPTIDX    ,NIFTY     ,25/01/2017,00008900.00,PE      ,00000588.00,00000636.10,00000568.55,00000629.00,000000000530175,           130125,             1735,              759,     1238388915.00,       80276415.00
OPTIDX    ,NIFTY     ,25/01/2017,00009000.00,CE      ,00000001.20,00000001.20,00000000.85,00000000.95,000000001883925,           624150,             8322,             3623,     5617998551.25,         648551.25
OPTIDX    ,NIFTY     ,25/01/2017,00009000.00,PE      ,00000694.15,00000732.90,00000666.00,00000725.50,000000001873950,           219150,             2922,             1256,     2127254272.50,      154904272.50
OPTIDX    ,NIFTY     ,25/01/2017,00009100.00,CE      ,00000000.80,00000000.95,00000000.70,00000000.85,000000000103950,            17400,              232,              146,      158354737.50,          14737.50
OPTIDX    ,NIFTY     ,25/01/2017,00009100.00,PE      ,00000778.00,00000825.50,00000767.00,00000820.10,000000000175350,             3000,              040,              036,       29689875.00,        2389875.00
OPTIDX    ,NIFTY     ,25/01/2017,00009200.00,CE      ,00000001.10,00000001.10,00000000.50,00000000.70,000000000160350,             8250,              110,              082,       75905606.25,           5606.25
OPTIDX    ,NIFTY     ,25/01/2017,00009200.00,PE      ,00000882.75,00000931.00,00000872.95,00000925.80,000000000078300,             4575,              061,              053,       46249072.50,        4159072.50
OPTIDX    ,NIFTY     ,25/01/2017,00009400.00,CE      ,00000000.70,00000000.75,00000000.50,00000000.50,000000000106200,            18600,              248,              247,      174849397.50,           9397.50
OPTIDX    ,NIFTY     ,25/01/2017,00009400.00,PE      ,00001063.00,00001066.30,00001062.50,00001065.05,000000000031950,              450,              006,              005,        4708695.00,         478695.00
OPTIDX    ,NIFTY     ,25/01/2017,00009500.00,CE      ,00000000.50,00000000.70,00000000.40,00000000.45,000000000287925,            34200,              456,              244,      324917403.75,          17403.75
OPTIDX    ,NIFTY     ,25/01/2017,00009500.00,PE      ,00001200.00,00001226.70,00001162.20,00001221.15,000000000295500,             9225,              123,              086,       98654906.25,       11017406.25
OPTIDX    ,NIFTY     ,25/01/2017,00009600.00,CE      ,00000000.35,00000000.45,00000000.30,00000000.30,000000000002250,              525,              007,              003,        5040198.75,            198.75
