Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1126145,         45045800,          82541.45,000000013104600
NIFTY     ,           938087,         70356525,          58409.23,000000111067725
NIFTYCPSE ,              014,             3500,              0.85,000000000008750
NIFTYIT   ,              002,              100,              0.10,000000000001200
