INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,IDBI      ,25/01/2017,00000069.90,00000070.75,00000069.80,00000070.20,000000025328000,      510986400.00,          7264000,              908,              879
FUTSTK    ,IDBI      ,23/02/2017,00000069.65,00000070.25,00000069.60,00000069.75,000000001208000,       18448800.00,           264000,              033,              033
FUTSTK    ,IDBI      ,30/03/2017,00000069.80,00000069.95,00000069.40,00000069.40,000000000072000,        3908400.00,            56000,              007,              007
FUTSTK    ,IDEA      ,25/01/2017,00000071.30,00000073.90,00000070.70,00000073.30,000000074081000,     1311013900.00,         18109000,             2587,             2463
FUTSTK    ,IDEA      ,23/02/2017,00000070.20,00000072.90,00000070.20,00000072.70,000000007791000,       99372700.00,          1386000,              198,              176
FUTSTK    ,IDEA      ,30/03/2017,00000071.50,00000072.45,00000071.50,00000072.40,000000000245000,       11621050.00,           161000,              023,              023
FUTSTK    ,IDFC      ,25/01/2017,00000054.80,00000055.40,00000054.30,00000055.15,000000054476400,      380583720.00,          6930000,              525,              479
FUTSTK    ,IDFC      ,23/02/2017,00000054.90,00000055.50,00000054.75,00000055.50,000000000633600,        8011740.00,           145200,              011,              009
FUTSTK    ,IDFCBANK  ,25/01/2017,00000061.05,00000061.60,00000060.00,00000060.20,000000049896000,      347292800.00,          5720000,              715,              681
FUTSTK    ,IDFCBANK  ,23/02/2017,00000061.65,00000061.70,00000060.30,00000060.40,000000000512000,        5863600.00,            96000,              012,              012
FUTSTK    ,IDFCBANK  ,30/03/2017,00000061.00,00000061.00,00000061.00,00000061.00,000000000016000,         488000.00,             8000,              001,              001
FUTSTK    ,IFCI      ,25/01/2017,00000027.55,00000028.20,00000027.30,00000027.90,000000058674000,      633498800.00,         22836000,             1038,              990
FUTSTK    ,IFCI      ,23/02/2017,00000027.50,00000028.00,00000027.25,00000027.70,000000001694000,       12701700.00,           462000,              021,              021
FUTSTK    ,IGL       ,25/01/2017,00000941.40,00000951.95,00000931.65,00000934.10,000000001669800,     2939633565.00,          3119600,             2836,             2750
FUTSTK    ,IGL       ,23/02/2017,00000945.45,00000949.00,00000932.55,00000934.30,000000000050600,       36214970.00,            38500,              035,              034
FUTSTK    ,INDIACEM  ,25/01/2017,00000123.25,00000124.95,00000121.00,00000122.25,000000029400000,      968564800.00,          7892500,             2255,             1986
FUTSTK    ,INDIACEM  ,23/02/2017,00000123.00,00000123.00,00000121.55,00000121.55,000000000126000,        6844775.00,            56000,              016,              015
FUTSTK    ,INDUSINDBK,25/01/2017,00001102.00,00001107.75,00001094.50,00001103.65,000000005026200,     1719970410.00,          1561800,             2603,             2521
FUTSTK    ,INDUSINDBK,23/02/2017,00001104.05,00001104.05,00001102.15,00001102.65,000000000010800,        3970410.00,             3600,              006,              006
FUTSTK    ,INFRATEL  ,25/01/2017,00000344.00,00000354.60,00000338.50,00000353.10,000000006054400,      833093680.00,          2380800,             1488,             1406
FUTSTK    ,INFY      ,25/01/2017,00000998.20,00001004.80,00000995.30,00000999.45,000000014955500,     2497753925.00,          2496500,             4993,             4648
FUTSTK    ,INFY      ,23/02/2017,00000998.70,00001006.00,00000998.65,00001002.30,000000000103500,       37145525.00,            37000,              074,              072
FUTSTK    ,INFY      ,30/03/2017,00001002.00,00001011.00,00001002.00,00001006.40,000000000004500,        9558125.00,             9500,              019,              019
FUTSTK    ,IOC       ,25/01/2017,00000338.60,00000345.35,00000333.00,00000338.05,000000016797000,     4669712700.00,         13743000,             4581,             4404
FUTSTK    ,IOC       ,23/02/2017,00000335.00,00000342.30,00000331.50,00000335.10,000000000654000,       71592450.00,           213000,              071,              071
