Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1225156,         49006240,          89607.04,000000011326560
NIFTY     ,          1602279,        120170925,          99910.69,000000108286325
NIFTYCPSE ,              027,             6750,              1.67,000000000004250
NIFTYIT   ,              021,             1050,              1.06,000000000001100
