The top 20 option contracts on individual securities traded are as under:                           
S No      ,Symbol    ,Exp Date  ,Str Price  ,Opt Type  ,No of Cont       ,Notional Value (Rs.)     
1         ,TATASTEEL ,25/01/2017,00000450.00,CE      ,             5052,     4649562500.00
2         ,INDUSINDBK,25/01/2017,00001200.00,CE      ,             4948,     3646776420.00
3         ,INDUSINDBK,25/01/2017,00001240.00,CE      ,             4283,     3225158580.00
4         ,SBIN      ,25/01/2017,00000260.00,CE      ,             4152,     3272068050.00
5         ,TATASTEEL ,25/01/2017,00000460.00,CE      ,             4121,     3844611500.00
6         ,SBIN      ,25/01/2017,00000250.00,CE      ,             3847,     2960509350.00
7         ,PNB       ,25/01/2017,00000125.00,CE      ,             3736,     3339528850.00
8         ,INDUSINDBK,25/01/2017,00001220.00,CE      ,             3500,     2606482740.00
9         ,ICICIBANK ,25/01/2017,00000270.00,CE      ,             3024,     2069925750.00
10        ,HINDALCO  ,25/01/2017,00000170.00,CE      ,             2934,     1803360300.00
11        ,TATASTEEL ,25/01/2017,00000440.00,CE      ,             2779,     2523564200.00
12        ,PNB       ,25/01/2017,00000130.00,CE      ,             2714,     2497549250.00
13        ,YESBANK   ,25/01/2017,00001300.00,CE      ,             2706,     2524366425.00
14        ,HINDALCO  ,25/01/2017,00000175.00,CE      ,             2673,     1674344175.00
15        ,INDUSINDBK,25/01/2017,00001260.00,CE      ,             2627,     2000244870.00
16        ,VEDL      ,25/01/2017,00000240.00,CE      ,             2607,     2243732050.00
17        ,SBIN      ,25/01/2017,00000255.00,CE      ,             2510,     1952671350.00
18        ,INDUSINDBK,25/01/2017,00001200.00,PE      ,             2350,     1711090350.00
19        ,JSWSTEEL  ,25/01/2017,00000200.00,CE      ,             2346,     1429952250.00
20        ,TATASTEEL ,25/01/2017,00000440.00,PE      ,             2209,     1979627900.00
The top twenty contracts contributed to around  17% of the total traded volume in Options on individual securities.INDUSINDBK was the most active option contracts on individual securities traded today with 32849 contracts and TATASTEEL was the next most active options contracts with 28669 contracts being traded.                                                                                                                                                                                           
