Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          4636914,        185476560,         335692.57,000000022043560
NIFTY     ,          1746949,        131021175,         108174.62,000000105404675
NIFTYCPSE ,              185,            46250,             11.17,000000000026750
NIFTYIT   ,              002,              100,              0.11,000000000000050
