INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,DJIA      ,20/01/2017,00019865.00,00019895.00,00019860.00,00019885.00,000000000035850,       36975150.00,             1860,              062,              027
FUTIDX    ,NIFTY     ,25/01/2017,00008254.70,00008298.70,00008236.15,00008288.20,000000018773775,    89267345148.75,         10788375,           143845,            85703
FUTIDX    ,NIFTY     ,23/02/2017,00008229.70,00008323.55,00008229.70,00008312.95,000000001165275,     3881317852.50,           467625,             6235,             4909
FUTIDX    ,NIFTY     ,30/03/2017,00008290.60,00008348.00,00008289.35,00008339.60,000000000254400,      855490893.75,           102750,             1370,              905
FUTIDX    ,NIFTYCPSE ,25/01/2017,00002400.00,00002437.95,00002400.00,00002431.65,000000000004750,       13932675.00,             5750,              023,              023
FUTIDX    ,NIFTYIT   ,25/01/2017,00010569.00,00010594.00,00010398.00,00010419.00,000000000031950,      168139500.00,            16050,              321,              272
FUTIDX    ,S&P500    ,20/01/2017,00002264.50,00002266.00,00002261.00,00002265.25,000000000397750,       68496125.00,            30250,              121,              042
FUTSTK    ,SAIL      ,25/01/2017,00000051.05,00000051.85,00000050.50,00000051.65,000000049044000,     1307015400.00,         25488000,             2124,             1975
FUTSTK    ,SAIL      ,23/02/2017,00000050.60,00000051.35,00000050.20,00000051.25,000000004740000,       42786600.00,           840000,              070,              064
FUTSTK    ,SAIL      ,30/03/2017,00000050.80,00000050.80,00000050.75,00000050.75,000000000264000,        1828200.00,            36000,              003,              003
FUTSTK    ,SBIN      ,25/01/2017,00000245.90,00000246.70,00000244.50,00000246.15,000000077793000,     9019482450.00,         36708000,            12236,            11373
FUTSTK    ,SBIN      ,23/02/2017,00000245.40,00000247.10,00000245.00,00000246.65,000000001890000,      167654400.00,           681000,              227,              213
FUTSTK    ,SBIN      ,30/03/2017,00000246.05,00000247.50,00000246.00,00000247.50,000000000084000,       17760600.00,            72000,              024,              024
FUTSTK    ,SIEMENS   ,25/01/2017,00001132.20,00001146.50,00001130.55,00001143.40,000000000744000,      569761275.00,           500000,             1000,              944
FUTSTK    ,SIEMENS   ,23/02/2017,00001134.00,00001144.00,00001134.00,00001144.00,000000000004500,        3987550.00,             3500,              007,              006
FUTSTK    ,SINTEX    ,25/01/2017,00000081.60,00000083.50,00000081.10,00000083.05,000000024673875,      784733250.00,          9519000,             1336,             1296
FUTSTK    ,SINTEX    ,23/02/2017,00000082.00,00000083.75,00000081.55,00000083.75,000000000327750,        6464868.75,            78375,              011,              011
FUTSTK    ,SOUTHBANK ,25/01/2017,00000020.05,00000020.50,00000020.05,00000020.45,000000041070000,      236445000.00,         11610000,              387,              358
FUTSTK    ,SOUTHBANK ,23/02/2017,00000020.40,00000020.50,00000020.35,00000020.50,000000000330000,        2451000.00,           120000,              004,              004
FUTSTK    ,SRF       ,25/01/2017,00001555.85,00001600.60,00001548.70,00001590.65,000000000419000,      760828875.00,           482500,              965,              925
FUTSTK    ,SRF       ,23/02/2017,00001557.00,00001557.00,00001557.00,00001557.00,000000000003000,         778500.00,              500,              001,              001
FUTSTK    ,SRTRANSFIN,25/01/2017,00000921.60,00000925.00,00000909.20,00000917.80,000000003441000,      971042940.00,          1060200,             1767,             1614
FUTSTK    ,STAR      ,25/01/2017,00001078.65,00001100.00,00001076.05,00001095.25,000000001501500,      708643800.00,           650000,             1300,             1233
FUTSTK    ,STAR      ,23/02/2017,00001090.60,00001095.00,00001090.60,00001095.00,000000000002500,        2187750.00,             2000,              004,              004
FUTSTK    ,SUNPHARMA ,25/01/2017,00000644.00,00000648.80,00000643.20,00000645.05,000000029785000,     2517640370.00,          3898300,             5569,             5040
