Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            45044,          1801760,           3305.02,000000001996080
DJIA      ,              141,             4230,              8.43,000000000036660
NIFTY     ,            67426,          5056950,           4175.62,000000020323650
NIFTYCPSE ,              042,            10500,              2.56,000000000009750
NIFTYIT   ,              736,            36800,             37.34,000000000043400
S&P500    ,              034,             8500,              1.93,000000000405750
