The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,INFY      ,25/01/2017,    25325784800.00,            50777
2         ,TCS       ,25/01/2017,    17880944650.00,            31379
3         ,AXISBANK  ,25/01/2017,    14541609540.00,            25892
4         ,TATASTEEL ,25/01/2017,    10832118300.00,            12114
5         ,SBIN      ,25/01/2017,     8616334950.00,            11426
6         ,VEDL      ,25/01/2017,     8642482625.00,            10280
7         ,SUNPHARMA ,25/01/2017,     4553593590.00,             9982
8         ,HINDALCO  ,25/01/2017,     5933977000.00,             9748
9         ,YESBANK   ,25/01/2017,     8909802440.00,             9645
10        ,ICICIBANK ,25/01/2017,     6129970375.00,             9164
The top ten contracts contributed to around  30% of the total traded volume in Futures on individual securities.INFY was the most active future contracts on individual securities traded today with 52308 contracts and TCS was the next most active futures contracts with 32198 contracts being traded.                                                                                                                                                                                                          
