The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,BHARATFIN ,25/01/2017,     8323439750.00,            13159
2         ,DLF       ,25/01/2017,     6711235000.00,            10889
3         ,SBIN      ,25/01/2017,     7895658750.00,            10760
4         ,CENTURYTEX,25/01/2017,     9775561950.00,            10531
5         ,ICICIBANK ,25/01/2017,     6309724000.00,             9951
6         ,TATAMOTORS,25/01/2017,     7145061750.00,             9715
7         ,HDFCBANK  ,25/01/2017,     5211274400.00,             8746
8         ,DIVISLAB  ,25/01/2017,     4015889940.00,             8730
9         ,RELIANCE  ,25/01/2017,     4480187975.00,             8314
10        ,MARUTI    ,25/01/2017,     6868985235.00,             8288
The top ten contracts contributed to around  23% of the total traded volume in Futures on individual securities.BHARATFIN was the most active future contracts on individual securities traded today with 13206 contracts and SBIN was the next most active futures contracts with 11000 contracts being traded.                                                                                                                                                                                                    
