Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           195309,          13300.48
Stock Futures  ,           546634,          36662.87
Index Options  ,          7098940,         515970.53
Stock Options  ,           399445,          27258.56
Vol Futures    ,              000,              0.00
F&O Total      ,          8240328,         593192.43
