INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,DJIA      ,20/01/2017,00019927.50,00019950.00,00019900.00,00019920.00,000000000036000,       69369825.00,             3480,              116,              048
FUTIDX    ,DJIA      ,17/02/2017,00019950.00,00019950.00,00019862.50,00019862.50,000000000000660,       14933025.00,              750,              025,              010
FUTIDX    ,NIFTY     ,25/01/2017,00008266.00,00008272.40,00008241.10,00008249.90,000000018707775,    38784774063.75,          4698300,            62644,            38285
FUTIDX    ,NIFTY     ,23/02/2017,00008295.05,00008296.20,00008267.90,00008277.05,000000001307775,     2547601657.50,           307650,             4102,             3263
FUTIDX    ,NIFTY     ,30/03/2017,00008326.50,00008326.50,00008299.85,00008303.85,000000000308100,      423855697.50,            51000,              680,              423
FUTIDX    ,NIFTYCPSE ,25/01/2017,00002544.00,00002544.00,00002406.10,00002413.00,000000000009750,       25576037.50,            10500,              042,              031
FUTIDX    ,NIFTYIT   ,25/01/2017,00010113.00,00010230.00,00010040.00,00010208.00,000000000043400,      373387550.00,            36800,              736,              479
FUTIDX    ,S&P500    ,20/01/2017,00002274.00,00002276.00,00002270.25,00002272.00,000000000405750,       19330625.00,             8500,              034,              020
FUTSTK    ,SAIL      ,25/01/2017,00000052.20,00000052.75,00000051.80,00000052.05,000000048840000,      652252800.00,         12480000,             1040,              973
FUTSTK    ,SAIL      ,23/02/2017,00000051.50,00000052.40,00000051.50,00000051.70,000000005076000,       29323800.00,           564000,              047,              047
FUTSTK    ,SBIN      ,25/01/2017,00000246.70,00000249.00,00000246.40,00000247.75,000000074706000,     6124932750.00,         24732000,             8244,             7509
FUTSTK    ,SBIN      ,23/02/2017,00000247.45,00000249.35,00000247.00,00000248.25,000000001920000,      104222550.00,           420000,              140,              138
FUTSTK    ,SBIN      ,30/03/2017,00000249.15,00000249.95,00000248.15,00000249.05,000000000183000,       22405950.00,            90000,              030,              026
FUTSTK    ,SIEMENS   ,25/01/2017,00001165.00,00001178.00,00001148.50,00001151.55,000000000758500,      552715475.00,           474500,              949,              906
FUTSTK    ,SIEMENS   ,23/02/2017,00001170.00,00001170.05,00001153.40,00001150.85,000000000024000,       36095625.00,            31000,              062,              049
FUTSTK    ,SINTEX    ,25/01/2017,00000084.60,00000086.20,00000083.45,00000084.80,000000024239250,     1019463525.00,         11984250,             1682,             1550
FUTSTK    ,SINTEX    ,23/02/2017,00000084.75,00000086.40,00000084.00,00000085.50,000000000342000,       10343006.25,           121125,              017,              017
FUTSTK    ,SOUTHBANK ,25/01/2017,00000020.85,00000021.10,00000020.75,00000021.05,000000040470000,      208374000.00,          9960000,              332,              320
FUTSTK    ,SOUTHBANK ,23/02/2017,00000020.90,00000021.10,00000020.90,00000021.10,000000000540000,        3786000.00,           180000,              006,              006
FUTSTK    ,SOUTHBANK ,30/03/2017,00000021.25,00000021.25,00000021.25,00000021.25,000000000030000,         637500.00,            30000,              001,              001
FUTSTK    ,SRF       ,25/01/2017,00001567.70,00001582.45,00001555.00,00001575.75,000000000402000,      323455525.00,           205500,              411,              399
FUTSTK    ,SRTRANSFIN,25/01/2017,00000934.45,00000945.00,00000916.00,00000933.40,000000003403200,      764500680.00,           822000,             1370,             1223
FUTSTK    ,SRTRANSFIN,23/02/2017,00000920.00,00000939.30,00000920.00,00000939.30,000000000013200,        6100350.00,             6600,              011,              009
FUTSTK    ,STAR      ,25/01/2017,00001105.20,00001164.00,00001095.40,00001159.90,000000001578000,     2533737525.00,          2227000,             4454,             3993
FUTSTK    ,STAR      ,23/02/2017,00001123.00,00001164.50,00001123.00,00001160.80,000000000010000,       14887775.00,            13000,              026,              026
FUTSTK    ,SUNPHARMA ,25/01/2017,00000643.05,00000648.50,00000633.00,00000634.30,000000029878100,     2049425525.00,          3210900,             4587,             4102
FUTSTK    ,SUNPHARMA ,23/02/2017,00000647.55,00000648.95,00000635.85,00000637.10,000000000499800,       72939125.00,           114100,              163,              150
FUTSTK    ,SUNPHARMA ,30/03/2017,00000644.80,00000644.80,00000639.15,00000639.15,000000000014000,        5837580.00,             9100,              013,              013
FUTSTK    ,SUNTV     ,25/01/2017,00000535.30,00000546.50,00000531.05,00000541.45,000000009114000,     4974199100.00,          9196000,             4598,             4292
FUTSTK    ,SUNTV     ,23/02/2017,00000535.00,00000545.70,00000534.20,00000541.20,000000000070000,       49800800.00,            92000,              046,              046
FUTSTK    ,SYNDIBANK ,25/01/2017,00000063.35,00000064.30,00000062.50,00000063.65,000000014400000,      379851750.00,          5985000,              665,              605
FUTSTK    ,SYNDIBANK ,23/02/2017,00000063.05,00000063.65,00000063.00,00000063.65,000000000369000,        5128200.00,            81000,              009,              009
FUTSTK    ,TATACHEM  ,25/01/2017,00000508.70,00000514.70,00000505.70,00000513.25,000000004450500,      733831500.00,          1434000,              956,              921
FUTSTK    ,TATACHEM  ,23/02/2017,00000512.70,00000516.45,00000512.70,00000514.90,000000000028500,        6946950.00,            13500,              009,              009
FUTSTK    ,TATACOMM  ,25/01/2017,00000633.95,00000646.50,00000628.90,00000632.90,000000005093200,     1745013970.00,          2739800,             1957,             1746
FUTSTK    ,TATACOMM  ,23/02/2017,00000636.30,00000636.30,00000635.50,00000635.55,000000000021000,        5340650.00,             8400,              006,              006
FUTSTK    ,TATAELXSI ,25/01/2017,00001389.75,00001402.00,00001373.00,00001392.85,000000001212400,      734016140.00,           529600,             1324,             1258
FUTSTK    ,TATAELXSI ,23/02/2017,00001394.15,00001394.15,00001390.00,00001390.00,000000000004800,        1670340.00,             1200,              003,              003
FUTSTK    ,TATAGLOBAL,25/01/2017,00000124.95,00000125.75,00000124.30,00000125.00,000000026541000,      181009125.00,          1449000,              322,              308
FUTSTK    ,TATAGLOBAL,23/02/2017,00000125.30,00000125.85,00000125.25,00000125.85,000000000171000,        3385350.00,            27000,              006,              006
FUTSTK    ,TATAMOTORS,25/01/2017,00000500.75,00000504.85,00000492.80,00000500.85,000000021946500,     7463233500.00,         14907000,             9938,             8974
FUTSTK    ,TATAMOTORS,23/02/2017,00000502.10,00000506.35,00000495.00,00000502.60,000000000363000,       68359800.00,           136500,              091,              090
FUTSTK    ,TATAMOTORS,30/03/2017,00000498.00,00000507.95,00000498.00,00000506.95,000000000025500,       13602000.00,            27000,              018,              018
FUTSTK    ,TATAMTRDVR,25/01/2017,00000320.00,00000323.00,00000315.10,00000319.05,000000015760500,     1031907345.00,          3227700,             1537,             1415
FUTSTK    ,TATAMTRDVR,23/02/2017,00000321.40,00000323.30,00000321.40,00000323.30,000000000069300,        2032800.00,             6300,              003,              003
FUTSTK    ,TATAPOWER ,25/01/2017,00000077.10,00000077.20,00000076.50,00000076.65,000000022590000,      165096900.00,          2151000,              239,              219
FUTSTK    ,TATAPOWER ,23/02/2017,00000077.20,00000077.20,00000077.00,00000077.00,000000000315000,        2082150.00,            27000,              003,              003
FUTSTK    ,TATASTEEL ,25/01/2017,00000423.45,00000424.70,00000420.10,00000422.50,000000022342000,     5119740200.00,         12112000,             6056,             5690
FUTSTK    ,TATASTEEL ,23/02/2017,00000422.75,00000425.50,00000422.75,00000424.00,000000000310000,       50045500.00,           118000,              059,              054
FUTSTK    ,TATASTEEL ,30/03/2017,00000425.75,00000425.80,00000425.75,00000425.80,000000000022000,        1703100.00,             4000,              002,              002
FUTSTK    ,TCS       ,25/01/2017,00002282.20,00002306.00,00002261.30,00002301.75,000000004602250,     2681585987.50,          1173750,             4695,             4331
FUTSTK    ,TCS       ,23/02/2017,00002277.00,00002312.25,00002271.10,00002310.00,000000000028000,       22304537.50,             9750,              039,              039
FUTSTK    ,TECHM     ,25/01/2017,00000470.20,00000478.30,00000463.15,00000473.20,000000008992500,     1842997530.00,          3905000,             3550,             3336
FUTSTK    ,TECHM     ,23/02/2017,00000470.25,00000480.55,00000465.50,00000477.00,000000000104500,       33455840.00,            70400,              064,              064
FUTSTK    ,TECHM     ,30/03/2017,00000479.50,00000479.50,00000479.50,00000479.50,000000000002200,         527450.00,             1100,              001,              001
FUTSTK    ,TITAN     ,25/01/2017,00000357.45,00000357.45,00000352.05,00000355.15,000000009324000,      525566925.00,          1482000,              988,              860
FUTSTK    ,TITAN     ,23/02/2017,00000357.85,00000357.85,00000354.00,00000354.55,000000000033000,        2131425.00,             6000,              004,              004
FUTSTK    ,TORNTPHARM,25/01/2017,00001393.95,00001393.95,00001341.45,00001346.85,000000000170400,       54673500.00,            40400,              101,              101
FUTSTK    ,TORNTPOWER,25/01/2017,00000180.05,00000181.75,00000179.40,00000179.65,000000002736000,       63361200.00,           351000,              117,              107
FUTSTK    ,TV18BRDCST,25/01/2017,00000038.35,00000038.50,00000038.00,00000038.10,000000081158000,      187789650.00,          4913000,              289,              273
FUTSTK    ,TV18BRDCST,23/02/2017,00000038.25,00000038.55,00000038.25,00000038.55,000000000629000,        1960950.00,            51000,              003,              003
FUTSTK    ,TVSMOTOR  ,25/01/2017,00000385.00,00000385.00,00000377.15,00000379.85,000000007816000,      845981800.00,          2228000,             1114,             1059
FUTSTK    ,TVSMOTOR  ,23/02/2017,00000375.00,00000378.15,00000371.80,00000373.65,000000000376000,       48711400.00,           130000,              065,              064
FUTSTK    ,UBL       ,25/01/2017,00000796.85,00000808.95,00000796.65,00000806.15,000000001060500,       49511490.00,            61600,              088,              084
FUTSTK    ,ULTRACEMCO,25/01/2017,00003338.15,00003338.15,00003292.45,00003299.70,000000002508400,      633121080.00,           191400,              957,              905
