Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1425272,         57010880,         104702.89,000000014243560
NIFTY     ,          1061292,         79596900,          65830.81,000000112159575
NIFTYCPSE ,              035,             8750,              2.15,000000000007750
NIFTYIT   ,              001,              050,              0.05,000000000001200
