Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           209335,          13846.53
Stock Futures  ,           450946,          28814.66
Index Options  ,          3089327,         210569.88
Stock Options  ,           226332,          15165.06
Vol Futures    ,              000,              0.00
F&O Total      ,          3975940,         268396.13
