Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          2391575,         95663000,         173143.89,000000013770360
NIFTY     ,          1449490,        108711750,          89429.40,000000098975050
NIFTYCPSE ,              011,             2750,              0.65,000000000000750
