Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1863372,         74534880,         135012.33,000000011908000
NIFTY     ,          1225954,         91946550,          75557.49,000000096939000
NIFTYCPSE ,              001,              250,              0.06,000000000002000
