The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,INFY      ,25/01/2017,     9279653375.00,            18633
2         ,YESBANK   ,25/01/2017,    12876086965.00,            13834
3         ,BIOCON    ,25/01/2017,     7938646320.00,            12868
4         ,ICICIBANK ,25/01/2017,     8498448250.00,            12692
5         ,AXISBANK  ,25/01/2017,     6912300180.00,            12600
6         ,TATASTEEL ,25/01/2017,    10820036800.00,            12078
7         ,TCS       ,25/01/2017,     7016122175.00,            12058
8         ,SBIN      ,25/01/2017,     9113973750.00,            12014
9         ,SUNPHARMA ,25/01/2017,     4856153855.00,            10855
10        ,HINDALCO  ,25/01/2017,     6641431825.00,            10795
The top ten contracts contributed to around  23% of the total traded volume in Futures on individual securities.INFY was the most active future contracts on individual securities traded today with 19098 contracts and YESBANK was the next most active futures contracts with 14130 contracts being traded.                                                                                                                                                                                                      
