INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,DJIA      ,20/01/2017,00019837.50,00019935.00,00019832.50,00019880.00,000000000036300,       57197550.00,             2880,              096,              046
FUTIDX    ,DJIA      ,17/02/2017,00019805.00,00019815.00,00019800.00,00019815.00,000000000000870,        5349300.00,              270,              009,              003
FUTIDX    ,NIFTY     ,25/01/2017,00008274.80,00008298.75,00008260.00,00008293.85,000000018709950,    49358071462.50,          5956500,            79420,            44753
FUTIDX    ,NIFTY     ,23/02/2017,00008291.05,00008324.90,00008291.05,00008318.85,000000001307550,     2055140711.25,           247275,             3297,             2301
FUTIDX    ,NIFTY     ,30/03/2017,00008321.55,00008351.60,00008321.55,00008347.35,000000000325800,      613881652.50,            73650,              982,              571
FUTIDX    ,NIFTYCPSE ,25/01/2017,00002434.10,00002447.60,00002415.00,00002419.00,000000000009750,       10322725.00,             4250,              017,              013
FUTIDX    ,NIFTYIT   ,25/01/2017,00010230.00,00010258.00,00010183.00,00010217.00,000000000043400,      134479900.00,            13150,              263,              214
FUTIDX    ,NIFTYIT   ,23/02/2017,00010201.00,00010201.00,00010201.00,00010201.00,000000000000050,         510050.00,              050,              001,              001
FUTIDX    ,S&P500    ,20/01/2017,00002264.25,00002269.00,00002262.00,00002268.75,000000000371000,      136050312.50,            60000,              240,              047
FUTIDX    ,S&P500    ,17/02/2017,00002262.00,00002262.00,00002262.00,00002262.00,000000000001000,        2262000.00,             1000,              004,              002
FUTSTK    ,SAIL      ,25/01/2017,00000052.20,00000052.95,00000052.15,00000052.80,000000049404000,      725373600.00,         13800000,             1150,             1078
FUTSTK    ,SAIL      ,23/02/2017,00000051.95,00000052.45,00000051.90,00000052.35,000000005364000,       35616000.00,           684000,              057,              054
FUTSTK    ,SAIL      ,30/03/2017,00000051.75,00000051.90,00000051.75,00000051.90,000000000300000,        1864800.00,            36000,              003,              003
FUTSTK    ,SBIN      ,25/01/2017,00000248.25,00000249.50,00000246.65,00000248.50,000000074979000,     6461673600.00,         26058000,             8686,             8024
FUTSTK    ,SBIN      ,23/02/2017,00000249.05,00000249.80,00000247.35,00000249.05,000000002052000,      163169700.00,           657000,              219,              208
FUTSTK    ,SBIN      ,30/03/2017,00000249.20,00000250.00,00000247.90,00000250.00,000000000219000,       13444800.00,            54000,              018,              017
FUTSTK    ,SIEMENS   ,25/01/2017,00001156.95,00001181.75,00001148.20,00001174.60,000000000780500,      671775600.00,           575500,             1151,             1102
FUTSTK    ,SIEMENS   ,23/02/2017,00001155.30,00001174.00,00001148.95,00001172.95,000000000024500,        3483000.00,             3000,              006,              006
FUTSTK    ,SINTEX    ,25/01/2017,00000084.80,00000085.60,00000083.60,00000084.65,000000024396000,      450939825.00,          5329500,              748,              724
FUTSTK    ,SINTEX    ,23/02/2017,00000085.45,00000085.45,00000084.15,00000084.75,000000000356250,        6655462.50,            78375,              011,              011
FUTSTK    ,SOUTHBANK ,25/01/2017,00000021.20,00000021.20,00000020.85,00000020.95,000000040290000,      134881500.00,          6420000,              214,              206
FUTSTK    ,SOUTHBANK ,23/02/2017,00000021.00,00000021.00,00000021.00,00000021.00,000000000540000,        1260000.00,            60000,              002,              002
FUTSTK    ,SRF       ,25/01/2017,00001579.65,00001592.00,00001567.60,00001581.00,000000000400000,      260989950.00,           165500,              331,              317
FUTSTK    ,SRF       ,23/02/2017,00001570.00,00001570.00,00001570.00,00001570.00,000000000003500,         785000.00,              500,              001,              001
FUTSTK    ,SRTRANSFIN,25/01/2017,00000937.05,00000944.40,00000928.25,00000942.85,000000003416400,      520922940.00,           555000,              925,              844
FUTSTK    ,SRTRANSFIN,23/02/2017,00000942.00,00000942.00,00000942.00,00000942.00,000000000013800,         565200.00,              600,              001,              001
FUTSTK    ,STAR      ,25/01/2017,00001164.05,00001173.70,00001143.00,00001167.80,000000001566500,     1435875375.00,          1237500,             2475,             2319
FUTSTK    ,STAR      ,23/02/2017,00001166.50,00001171.00,00001149.30,00001167.70,000000000012000,       10438750.00,             9000,              018,              018
FUTSTK    ,STAR      ,30/03/2017,00001170.00,00001170.00,00001170.00,00001170.00,000000000001000,        1170000.00,             1000,              002,              002
FUTSTK    ,SUNPHARMA ,25/01/2017,00000634.75,00000642.40,00000628.40,00000639.95,000000029970500,     3044637925.00,          4785900,             6837,             6251
FUTSTK    ,SUNPHARMA ,23/02/2017,00000636.40,00000645.00,00000631.45,00000642.75,000000000581700,      137756920.00,           215600,              308,              249
FUTSTK    ,SUNPHARMA ,30/03/2017,00000640.20,00000647.30,00000636.45,00000645.25,000000000016100,        8543500.00,            13300,              019,              019
FUTSTK    ,SUNTV     ,25/01/2017,00000541.95,00000543.00,00000532.20,00000536.00,000000009324000,     3138580500.00,          5848000,             2924,             2761
FUTSTK    ,SUNTV     ,23/02/2017,00000539.10,00000540.45,00000533.55,00000534.30,000000000084000,       12846100.00,            24000,              012,              012
FUTSTK    ,SYNDIBANK ,25/01/2017,00000063.60,00000064.60,00000062.90,00000064.25,000000014805000,      443349000.00,          6975000,              775,              716
FUTSTK    ,SYNDIBANK ,23/02/2017,00000063.60,00000063.80,00000063.50,00000063.70,000000000360000,        2863350.00,            45000,              005,              005
FUTSTK    ,TATACHEM  ,25/01/2017,00000514.50,00000516.35,00000508.80,00000510.90,000000004609500,     1035067800.00,          2020500,             1347,             1268
FUTSTK    ,TATACHEM  ,23/02/2017,00000513.05,00000515.00,00000511.50,00000512.70,000000000030000,        9252150.00,            18000,              012,              011
FUTSTK    ,TATACOMM  ,25/01/2017,00000635.25,00000643.70,00000629.00,00000633.95,000000005390000,     1628771130.00,          2563400,             1831,             1699
FUTSTK    ,TATACOMM  ,23/02/2017,00000635.55,00000640.50,00000633.00,00000636.70,000000000015400,       16935590.00,            26600,              019,              019
FUTSTK    ,TATAELXSI ,25/01/2017,00001405.00,00001427.40,00001403.10,00001415.75,000000001225600,      710990500.00,           502000,             1255,             1218
FUTSTK    ,TATAELXSI ,23/02/2017,00001400.00,00001426.65,00001400.00,00001426.65,000000000005200,        1130660.00,              800,              002,              002
FUTSTK    ,TATAGLOBAL,25/01/2017,00000125.70,00000125.70,00000124.25,00000124.95,000000026563500,      281293650.00,          2254500,              501,              473
FUTSTK    ,TATAGLOBAL,23/02/2017,00000125.35,00000125.35,00000124.90,00000125.30,000000000220500,       10141200.00,            81000,              018,              018
FUTSTK    ,TATAMOTORS,25/01/2017,00000505.80,00000517.85,00000505.80,00000516.45,000000021975000,     9078392400.00,         17707500,            11805,            10848
FUTSTK    ,TATAMOTORS,23/02/2017,00000508.55,00000519.50,00000508.55,00000518.50,000000000414000,      122893650.00,           238500,              159,              149
FUTSTK    ,TATAMOTORS,30/03/2017,00000517.10,00000519.75,00000516.50,00000519.50,000000000037500,       12413025.00,            24000,              016,              015
FUTSTK    ,TATAMTRDVR,25/01/2017,00000322.40,00000327.80,00000321.85,00000327.25,000000015869700,     1248039660.00,          3840900,             1829,             1684
FUTSTK    ,TATAMTRDVR,23/02/2017,00000324.60,00000329.25,00000324.55,00000328.95,000000000081900,       17844645.00,            54600,              026,              024
FUTSTK    ,TATAPOWER ,25/01/2017,00000076.70,00000077.45,00000076.65,00000077.30,000000022833000,      298525950.00,          3870000,              430,              380
FUTSTK    ,TATAPOWER ,23/02/2017,00000077.20,00000077.70,00000077.20,00000077.60,000000000315000,        3483900.00,            45000,              005,              005
FUTSTK    ,TATASTEEL ,25/01/2017,00000422.25,00000432.75,00000422.25,00000432.10,000000023432000,    10251465300.00,         23876000,            11938,            10966
FUTSTK    ,TATASTEEL ,23/02/2017,00000425.80,00000434.05,00000425.80,00000433.40,000000000406000,      124918700.00,           290000,              145,              141
FUTSTK    ,TATASTEEL ,30/03/2017,00000431.45,00000434.60,00000430.35,00000434.50,000000000036000,        9522200.00,            22000,              011,              011
FUTSTK    ,TCS       ,25/01/2017,00002310.00,00002323.65,00002286.20,00002309.15,000000004529250,     2445246350.00,          1060250,             4241,             3811
FUTSTK    ,TCS       ,23/02/2017,00002320.00,00002330.65,00002295.80,00002321.95,000000000029000,       17934587.50,             7750,              031,              031
FUTSTK    ,TECHM     ,25/01/2017,00000473.70,00000475.60,00000468.50,00000473.65,000000009149800,     1061780390.00,          2246200,             2042,             1972
FUTSTK    ,TECHM     ,23/02/2017,00000474.35,00000476.55,00000471.00,00000474.65,000000000115500,       21881860.00,            46200,              042,              042
FUTSTK    ,TITAN     ,25/01/2017,00000357.55,00000363.65,00000354.60,00000362.10,000000009390000,      824422500.00,          2296500,             1531,             1379
FUTSTK    ,TITAN     ,23/02/2017,00000357.25,00000357.25,00000357.25,00000357.25,000000000033000,         535875.00,             1500,              001,              001
FUTSTK    ,TORNTPHARM,25/01/2017,00001356.00,00001365.25,00001350.00,00001360.40,000000000168400,       24424740.00,            18000,              045,              045
FUTSTK    ,TORNTPHARM,23/02/2017,00001352.00,00001355.35,00001352.00,00001355.20,000000000006800,        2167020.00,             1600,              004,              004
FUTSTK    ,TORNTPOWER,25/01/2017,00000179.10,00000182.00,00000179.10,00000180.65,000000002781000,       91003350.00,           504000,              168,              159
FUTSTK    ,TORNTPOWER,23/02/2017,00000180.50,00000181.30,00000180.50,00000180.90,000000000033000,        2712300.00,            15000,              005,              005
FUTSTK    ,TV18BRDCST,25/01/2017,00000038.30,00000038.40,00000037.60,00000037.80,000000083521000,      205071850.00,          5423000,              319,              296
