Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,           104375,          4175000,           7532.97,000000002122800
DJIA      ,              073,             2190,              4.35,000000000034860
FTSE100   ,              010,             1000,              0.72,000000000001000
NIFTY     ,           120852,          9063900,           7432.58,000000018436050
NIFTYCPSE ,              034,             8500,              2.02,000000000011750
NIFTYIT   ,              177,             8850,              9.14,000000000031250
S&P500    ,              118,            29500,              6.64,000000000360000
