Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,           121225,          4849000,           9083.95,000000002321520
DJIA      ,              084,             2520,              5.00,000000000036180
NIFTY     ,           122860,          9214500,           7708.85,000000021064950
NIFTYCPSE ,              026,             6500,              1.59,000000000008500
NIFTYIT   ,              492,            24600,             25.13,000000000039950
S&P500    ,              060,            15000,              3.40,000000000370750
