Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           186126,          12615.72
Stock Futures  ,           579319,          37412.76
Index Options  ,          2924228,         199472.85
Stock Options  ,           503816,          31806.28
Vol Futures    ,              000,              0.00
F&O Total      ,          4193489,         281307.61
