Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            77675,          3107000,           5685.85,000000001997720
DJIA      ,              092,             2760,              5.48,000000000034830
NIFTY     ,           118769,          8907675,           7387.37,000000020237250
NIFTYCPSE ,              015,             3750,              0.92,000000000005500
NIFTYIT   ,             1240,            62000,             63.06,000000000044800
S&P500    ,              046,            11500,              2.60,000000000403750
