The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,SBIN      ,25/01/2017,    12959905650.00,            17633
2         ,BHARATFIN ,25/01/2017,     9602203350.00,            15714
3         ,ICICIBANK ,25/01/2017,     7718790750.00,            12182
4         ,MARUTI    ,25/01/2017,     9419855738.00,            11439
5         ,AXISBANK  ,25/01/2017,     5412426960.00,             9949
6         ,TATAMOTORS,25/01/2017,     7212576675.00,             9863
7         ,YESBANK   ,25/01/2017,     7789494055.00,             9555
8         ,LICHSGFIN ,25/01/2017,     5390898590.00,             9274
9         ,HDFCBANK  ,25/01/2017,     5522104275.00,             9237
10        ,PNB       ,25/01/2017,     7175057750.00,             8755
The top ten contracts contributed to around  24% of the total traded volume in Futures on individual securities.SBIN was the most active future contracts on individual securities traded today with 17974 contracts and BHARATFIN was the next most active futures contracts with 15759 contracts being traded.                                                                                                                                                                                                    
