INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,25/01/2017,00006500.00,CE      ,00001913.65,00001925.95,00001885.00,00001899.15,000000000356550,             2775,              037,              026,       23310588.75,        5273088.75
OPTIDX    ,NIFTY     ,25/01/2017,00006500.00,PE      ,00000000.10,00000000.15,00000000.10,00000000.15,000000000097800,             3225,              043,              025,       20962927.50,            427.50
OPTIDX    ,NIFTY     ,25/01/2017,00007000.00,CE      ,00001422.05,00001423.05,00001386.00,00001404.55,000000001050675,            18300,              244,              167,      153706275.00,       25606275.00
OPTIDX    ,NIFTY     ,25/01/2017,00007000.00,PE      ,00000000.30,00000000.50,00000000.05,00000000.45,000000001091325,           185775,             2477,              210,     1300486361.25,          61361.25
OPTIDX    ,NIFTY     ,25/01/2017,00007050.00,CE      ,00001344.55,00001344.55,00001339.15,00001339.70,000000000089850,              750,              010,              007,        6292440.00,        1004940.00
OPTIDX    ,NIFTY     ,25/01/2017,00007050.00,PE      ,00000000.85,00000000.85,00000000.35,00000000.70,000000000074175,             4050,              054,              021,       28555327.50,           2827.50
OPTIDX    ,NIFTY     ,25/01/2017,00007100.00,CE      ,00001330.00,00001330.00,00001283.95,00001307.80,000000000250650,             1725,              023,              021,       14485485.00,        2237985.00
OPTIDX    ,NIFTY     ,25/01/2017,00007100.00,PE      ,00000000.30,00000000.45,00000000.30,00000000.40,000000000232425,            12075,              161,              046,       85737213.75,           4713.75
OPTIDX    ,NIFTY     ,25/01/2017,00007200.00,CE      ,00001221.25,00001221.25,00001187.80,00001213.00,000000000090150,             4500,              060,              040,       37837065.00,        5437065.00
OPTIDX    ,NIFTY     ,25/01/2017,00007200.00,PE      ,00000000.85,00000000.85,00000000.45,00000000.70,000000000546750,            16275,              217,              094,      117190646.25,          10646.25
OPTIDX    ,NIFTY     ,25/01/2017,00007300.00,CE      ,00001114.00,00001114.00,00001085.50,00001106.30,000000000060300,             3075,              041,              024,       25838321.25,        3390821.25
