Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            79030,          3161200,           5974.54,000000002401840
DJIA      ,              100,             3000,              5.96,000000000037530
NIFTY     ,           115532,          8664900,           7285.21,000000022471650
NIFTYCPSE ,              083,            20750,              5.13,000000000019000
NIFTYIT   ,              473,            23650,             24.49,000000000041900
S&P500    ,              091,            22750,              5.15,000000000376000
