Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          4294160,        171766400,         320778.74,000000019131080
NIFTY     ,          1968286,        147621450,         123008.08,000000117630725
NIFTYCPSE ,              009,             2250,              0.56,000000000001500
NIFTYIT   ,              018,              900,              0.91,000000000001250
