Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           225639,          14988.42
Stock Futures  ,           492756,          32238.67
Index Options  ,          3841076,         262573.94
Stock Options  ,           241909,          16477.47
Vol Futures    ,              000,              0.00
F&O Total      ,          4801380,         326278.50
