Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            90560,          3622400,           6562.66,000000002159200
DJIA      ,              062,             1860,              3.70,000000000035850
NIFTY     ,           151450,         11358750,           9400.42,000000020193450
NIFTYCPSE ,              023,             5750,              1.39,000000000004750
NIFTYIT   ,              321,            16050,             16.81,000000000031950
S&P500    ,              121,            30250,              6.85,000000000397750
