Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           244747,          16827.92
Stock Futures  ,           619869,          41931.88
Index Options  ,          6262473,         443788.28
Stock Options  ,           426667,          30025.17
Vol Futures    ,              000,              0.00
F&O Total      ,          7553756,         532573.25
