Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           113423,           7530.90
Stock Futures  ,           387970,          25131.91
Index Options  ,          2064248,         140951.64
Stock Options  ,           219314,          14818.07
Vol Futures    ,              000,              0.00
F&O Total      ,          2784955,         188432.52
