Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            78743,          3149720,           5672.47,000000002390800
DJIA      ,              092,             2760,              5.48,000000000035850
NIFTY     ,            94585,          7093875,           5822.30,000000018811575
NIFTYCPSE ,              027,             6750,              1.61,000000000007750
NIFTYIT   ,              234,            11700,             12.23,000000000031450
S&P500    ,              144,            36000,              8.12,000000000377500
